Price,Close,High,Low,Open,Volume
Ticker,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS
Date,,,,,
2014-06-02,799.5159912109375,807.3834446078449,779.8688038994936,779.8688038994936,95488
2014-06-03,804.5889282226562,814.8639606019968,796.2055529529564,806.9104916372842,103336
2014-06-04,782.2764282226562,813.8753276867418,778.9660854941523,811.5967140299093,112854
2014-06-05,816.4976806640625,824.3221840256335,783.308125598229,785.0278087361781,226783
2014-06-06,868.517578125,877.0299196603802,816.8845986802963,823.7202651312406,394367
2014-06-09,861.0801391601562,887.348013569829,855.7061650607282,883.0488920967094,196024
2014-06-10,873.8056640625,889.067716152497,858.1137055964962,864.1325682798633,212624
2014-06-11,869.3775024414062,881.7591179955682,863.0147494590373,881.7591179955682,65995
2014-06-12,863.5735473632812,871.8709649947407,857.2538029055283,866.2390591051491,78975
2014-06-13,857.2108154296875,875.396310332474,850.3751485275333,860.6931319416212,90783
2014-06-16,851.3209838867188,859.9192841975716,828.1054632152182,859.8333260512237,41632
2014-06-17,887.9069213867188,919.5917770720189,846.1190062116306,857.0388704354792,305615
2014-06-18,900.7613525390625,913.7018396392352,878.4057027876067,894.0546518329838,155806
2014-06-19,897.1071166992188,908.6718695445304,869.2915333848568,901.1483636822026,80935
2014-06-20,885.8003540039062,902.8250979674019,880.2544632924137,902.8250979674019,45828
2014-06-23,900.5035400390625,911.4234052230364,883.1349055320793,891.6472486668528,78825
2014-06-24,917.01220703125,924.3207879082452,892.5069108611681,906.6512161265019,159992
2014-06-25,924.3209228515625,930.3397278377059,910.9934781150054,916.5823767173422,96934
2014-06-26,932.7901611328125,945.7736562940712,912.3261106880846,928.6199482486196,86965
2014-06-27,947.3643188476562,954.4149678165684,937.2183095414616,938.9379927108981,134308
2014-06-30,963.9591674804688,967.8283824058154,947.5793136901461,952.5233811914915,48399
2014-07-01,988.2062377929688,1005.9188153830253,963.0131639572729,963.0561141196341,204556
2014-07-02,989.023193359375,1007.7244924489805,987.6474007607629,994.7840647372108,79130
2014-07-03,977.4156494140625,1006.0050883459897,970.794848401006,989.1953269669168,129111
2014-07-04,966.7965698242188,981.9296543413958,955.2748256958342,968.1723047803257,67345
2014-07-07,976.1257934570312,983.6492989846163,955.3177946117793,963.0133320444746,111188
2014-07-08,890.7872314453125,985.798777072554,865.379116203123,969.0320269258158,85475
2014-07-09,903.3409423828125,919.0329010369604,883.1778879968775,893.3669062367416,50497
2014-07-10,913.6159057617188,940.6576335693067,888.5947435696024,901.621246966916,109698
