Price,Close,High,Low,Open,Volume
Ticker,ANURAS.NS,ANURAS.NS,ANURAS.NS,ANURAS.NS,ANURAS.NS
Date,,,,,
2021-03-24,523.190673828125,545.1889397108819,498.80888765974083,516.4372754267102,16135816
2021-03-25,491.3603515625,515.2455672411801,487.6360436931531,507.9955933789161,2119014
2021-03-26,492.3038330078125,506.5058475913893,487.63602189680813,498.56065782524985,925705
2021-03-30,477.00933837890625,500.9939052337194,471.7456620624495,493.5949348316577,529986
2021-03-31,485.7987060546875,494.0915041968767,470.7525085212453,474.62578259294907,527647
2021-04-01,513.4082641601562,516.2387138824188,489.47337295659463,491.7079576690092,695372
2021-04-05,537.2438354492188,554.2763003638715,512.0178326231163,521.4031005565319,1583749
2021-04-06,548.3174438476562,557.0572020301324,541.7626858277931,541.7626858277931,918972
2021-04-07,553.5811767578125,559.8876475207836,541.4151037074718,554.9219034186037,758597
2021-04-08,548.8636474609375,558.5468471828915,544.8413467751528,556.9081275985359,386096
2021-04-09,551.4458618164062,554.9715278730139,545.3379725535433,551.3962165006494,229741
2021-04-12,549.8568115234375,581.9851482779962,512.8123158783644,544.2454970244743,1187225
2021-04-13,576.423583984375,580.9920441876004,548.1188433701074,555.269466189592,659160
2021-04-15,590.6256103515625,596.8327904237434,560.3345715993194,577.9133176871344,671215
2021-04-16,575.9766235351562,602.841284812376,569.4218054849604,589.9303512002493,465893
2021-04-19,548.2677001953125,565.4988656457118,546.231757585889,563.1152846385438,206642
2021-04-20,552.7369384765625,566.7403725710574,545.040035472071,559.142760197247,205041
2021-04-22,550.6017456054688,557.0572131177908,545.2387175792031,557.0572131177908,202740
2021-04-23,585.9577026367188,595.8395438130566,550.3533478334672,555.1700945320775,946298
2021-04-26,598.4218139648438,605.721494218118,587.0999537000621,595.094789639082,784396
2021-04-27,625.2863159179688,632.6356395885517,599.0672300194935,605.82062817742,1399747
2021-04-28,635.6151733398438,657.9610192775726,630.6494297981262,635.6151733398438,1017198
2021-04-29,627.8687133789062,653.491941515539,617.7385830131691,649.5193461263868,494639
