Price,Close,High,Low,Open,Volume
Ticker,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS
Date,,,,,
2014-06-02,11080.1552734375,11385.494135759778,11024.355767809448,11272.855590444497,13535
2014-06-03,11055.982421875,11241.227734215367,11024.355173426646,11114.718740421946,3410
2014-06-04,10893.0146484375,11159.813142855257,10847.245137987302,11114.721359317211,4348
2014-06-05,10878.0107421875,11024.354709266183,10834.591226565699,11024.354709266183,4785
2014-06-06,10768.9423828125,11021.102626797963,10663.804723795058,10924.9554368852,6775
2014-06-09,10816.203125,10970.092104171066,10755.07181852018,10970.092104171066,13336
2014-06-10,10633.6220703125,10933.990900597526,10590.609368182066,10784.891024680286,8434
2014-06-11,10822.935546875,10843.629158835833,10581.574787497299,10581.574787497299,6248
2014-06-12,10708.0390625,10978.722985798415,10663.80591426866,10843.448532096134,8669
2014-06-13,10699.1826171875,10816.519360188131,10617.719505614916,10668.729917518345,4778
2014-06-16,10711.7431640625,10769.530846649108,10621.334583949792,10671.938185847119,2871
2014-06-17,10777.12109375,10858.990134642534,10631.589859267997,10643.021203779626,27373
2014-06-18,11016.40234375,11060.49958390037,10753.26348434758,10753.26348434758,9159
2014-06-19,10808.025390625,11069.537929467962,10772.24176793368,11069.537929467962,4723
2014-06-20,10687.2099609375,11132.792394456956,10653.865448916195,10807.619424132417,5113
2014-06-23,10696.4736328125,10795.692674302247,10632.721416568578,10753.266793947352,2556
2014-06-24,10840.9189453125,10879.77528561828,10699.04812140535,10699.04812140535,12294
2014-06-25,10816.474609375,11033.347183102716,10753.265113999256,10851.897306241879,4099
2014-06-26,11590.7109375,11837.629429220184,10754.170063904536,10754.170063904536,27789
2014-06-27,11747.8974609375,11815.037420610683,11593.691667356145,11720.155666946122,14623
2014-06-30,12250.6337890625,12352.654609234656,11655.092876969064,11828.320011478314,9486
2014-07-01,12145.2705078125,12378.905339387333,12090.645553763232,12345.380808211235,9851
2014-07-02,12593.11328125,12650.900966082865,12219.053072265066,12224.384876369213,6237
2014-07-03,12379.6748046875,12740.361394321306,12235.228972204444,12659.937806542413,11011
2014-07-04,12279.326171875,12506.093755872738,12244.265278785788,12370.774292736342,6968
2014-07-07,12251.9912109375,12470.174255102382,12199.98714624183,12378.591118175367,6020
2014-07-08,12100.31640625,12370.232603399656,11566.538548463519,12370.186715642963,17778
2014-07-09,11817.4755859375,12184.622557557686,11657.893007838125,12098.777174661813,5207
2014-07-10,11748.0771484375,12018.354220057776,11639.730880343173,11837.627088929086,4557
2014-07-11,11574.5361328125,11927.993661608773,11478.208900618942,11747.31149022052,7110
2014-07-14,11751.0146484375,11873.773206420727,11458.823512700428,11574.533888650645,5997
2014-07-15,11742.611328125,11905.311659956365,11656.946830736406,11905.311659956365,18066
2014-07-16,11863.1123046875,12194.565756920727,11738.229654123767,11738.229654123767,3302
2014-07-17,11972.7666015625,12197.00416078799,11744.101756737165,11747.264481789955,4189
2014-07-18,12091.865234375,12171.972892249896,11852.08585410168,11853.034495096366,26447
2014-07-21,12093.9453125,12413.334671721654,12027.392184581555,12199.082982107513,2435
2014-07-22,12102.3046875,12176.492836325215,12032.814739035737,12176.492836325215,8603
2014-07-23,12016.3671875,12226.191583179401,11973.128570249517,12153.900723855355,1548
2014-07-24,11896.818359375,12104.202796994274,11837.630208333332,12028.252376614635,1865
2014-07-25,11980.0400390625,12106.910841526478,11927.990976873376,12106.910841526478,4767
2014-07-28,11929.7978515625,12063.535927765442,11838.756559822996,11838.756559822996,2543
2014-07-30,12071.8955078125,12331.013050853107,11855.700661526656,11855.700661526656,10317
2014-07-31,12113.5087890625,12264.145053113103,12036.428831967767,12108.719695823429,5822
2014-08-01,12198.9921875,12623.790985726313,12064.711390275128,12109.622261969815,9922
