Price,Close,High,Low,Open,Volume
Ticker,COCHINSHIP.NS,COCHINSHIP.NS,COCHINSHIP.NS,COCHINSHIP.NS,COCHINSHIP.NS
Date,,,,,
2017-08-11,206.0137939453125,206.0137939453125,169.6790612963282,171.68790297457483,55234074
2017-08-14,211.53326416015625,224.28845589154716,206.59893241521797,223.11825525211302,19202718
2017-08-16,209.1538543701172,213.7566385406383,206.3453682262731,209.68043510617912,6482066
2017-08-17,209.68038940429688,213.34702659955178,207.59354168848054,208.607705776809,4330378
2017-08-18,208.47122192382812,209.62192383316176,202.0546178128093,208.6857539186351,4786128
2017-08-21,204.49252319335938,210.5190601119746,203.16628652888505,209.32936111437206,2221058
2017-08-22,199.90919494628906,206.73536257860135,195.03336092320882,205.95522913490854,3039678
2017-08-23,198.3879852294922,202.01561376485495,197.0032408887423,200.3188088286048,1933098
2017-08-24,200.18226623535156,205.76021614853187,197.95888093910887,198.93404784028672,3302236
2017-08-28,198.9730682373047,203.22479378798283,198.50498333650435,200.88439309176806,1072778
2017-08-29,196.69119262695312,201.6645445476148,196.20360910531963,198.15394319185364,1629020
2017-08-30,200.82589721679688,201.62555326179893,197.5688487205319,197.5688487205319,1702072
2017-08-31,200.27981567382812,203.1858182760646,198.2319648465043,201.46951472623928,1344092
2017-09-01,207.35952758789062,210.18751224563104,199.7142268638744,200.8844274119049,4028642
2017-09-04,209.30987548828125,212.78148019701413,204.7851092638541,206.3453767630073,3053174
2017-09-05,210.32400512695312,212.11830272861766,208.10061979773502,210.24598701214464,1289926
2017-09-06,207.8275604248047,212.58637955436777,207.1254450337051,209.42684839052697,1477104
2017-09-07,207.86659240722656,209.6413914589977,206.73538924484777,208.29565633348813,798722
2017-09-08,214.107666015625,218.8664617065217,207.1449596770426,208.5296919906326,5207140
2017-09-11,219.29554748535156,223.4887653513793,212.19632735991473,215.21934489123703,5035072
2017-09-12,217.89132690429688,226.1607486588037,216.8966612256654,225.75118323910726,3695900
2017-09-13,212.19631958007812,217.83278908048115,211.49420416655417,217.83278908048115,1347888
2017-09-14,211.51373291015625,214.47823121574905,210.85061455533463,212.7619514943282,947250
2017-09-15,213.52256774902344,218.047332934386,209.46586365968744,210.63606401532815,1875724
2017-09-18,216.13601684570312,218.80798886476845,214.1466855738704,215.27788888234906,1631174
2017-09-19,212.68392944335938,216.87714767630962,212.33285978911312,216.44808370582092,592010
2017-09-20,212.80093383789062,216.42855024574902,212.58640186362246,212.97646865603278,696186
2017-09-21,210.7726287841797,214.53678369392668,208.29571362283062,213.34708447318258,788864
2017-09-22,207.84710693359375,210.28502469253988,206.16982427699693,210.28502469253988,983660
2017-09-25,204.8436279296875,208.10067679692537,199.32417215225652,207.84712380629568,947950
2017-09-26,205.77975463867188,208.49072391133146,203.02978820551547,204.7850889680992,413424
2017-09-27,205.17515563964844,207.34002181687373,203.22482146056433,206.7354229829157,1612514
2017-09-28,203.06875610351562,205.95525979804233,201.8205614539994,205.95525979804233,588352
2017-09-29,202.83474731445312,207.3595129237367,202.11313321731555,204.3560174424273,575670
2017-10-03,202.87376403808594,205.95530175026917,202.54221673073346,205.17516803151815,492208
2017-10-04,202.87376403808594,206.30637144682382,202.52271814932303,203.6149005940161,1546774
2017-10-05,202.26913452148438,205.17513694509708,201.99608299973366,203.49785446546855,596762
2017-10-06,202.3276824951172,204.64858504444234,202.05463093499807,203.06879523510736,534704
2017-10-09,201.31346130371094,204.72654572482065,200.8843973567436,202.83473131166343,598072
2017-10-10,223.2157440185547,228.657181072046,201.66455160785108,202.0351198588239,13293500
2017-10-11,219.7831573486328,230.9195604428935,215.9800058041764,226.23875854202402,9364768
2017-10-12,221.49940490722656,224.1713765553707,219.76362683411935,221.12886052348486,1850750
2017-10-13,223.5277557373047,227.3309067099317,219.2370213066486,222.68912647416624,2495866
2017-10-16,222.12356567382812,225.34161708751893,220.38776348306712,224.99054741018193,994242
2017-10-17,221.51893615722656,224.81498143580447,219.6075993925073,222.29906972522835,1163282
2017-10-18,221.24594116210938,224.63952781133514,218.45695342096684,221.7140261840359,961200
2017-10-19,221.6749725341797,223.25473841849143,220.7778235956141,221.55795724789542,451546
2017-10-23,222.41610717773438,224.28842316608464,220.77782176000682,221.94802222869941,749578
2017-10-24,225.69264221191406,227.76001530964075,222.61112875945125,223.5082776428825,2145486
2017-10-25,222.70864868164062,228.5791493776488,222.06502892563591,227.369951796548,663624
2017-10-26,221.22637939453125,223.95684680015572,220.81679023745846,223.2742299487496,565870
2017-10-27,222.8451385498047,227.40892447142303,220.48523937816788,222.2600384010789,1117394
2017-10-30,224.40545654296875,226.2387755199473,222.49414324135438,223.1182406851894,734030
2017-10-31,226.12171936035156,233.18191862495135,223.52776572462332,225.45860106624636,2396434
2017-11-01,225.57562255859375,228.969208433216,224.4834402952569,227.01887446019032,696288
2017-11-02,224.69801330566406,227.79904965065174,223.89838099225017,226.04374875437102,548482
2017-11-03,224.28843688964844,226.23877112347145,223.8983700428838,225.34162213747106,403792
2017-11-06,223.4302215576172,226.1606887088641,222.7281061945677,224.07384119495333,425756
2017-11-07,221.3434295654297,224.8735296491885,219.6466245540011,224.8735296491885,753542
2017-11-08,220.68026733398438,223.1181845603872,219.56858660185884,220.38771726681603,812048
2017-11-09,219.64662170410156,222.61114388670987,219.256554875426,220.44627774911837,640544
