Price,Close,High,Low,Open,Volume
Ticker,COROMANDEL.NS,COROMANDEL.NS,COROMANDEL.NS,COROMANDEL.NS,COROMANDEL.NS
Date,,,,,
2014-06-02,219.92172241210938,221.2338190735512,209.3827634213736,218.186399596341,185832
2014-06-03,219.66770935058594,220.51421304750534,215.22356494175907,215.22356494175907,279104
2014-06-04,218.48265075683594,223.18073683200467,216.7049874896851,220.13331777878147,57166
2014-06-05,217.7631072998047,220.34493361282063,216.7472923843496,220.34493361282063,78591
2014-06-06,226.2281494140625,228.51372009691397,219.28680764878877,225.12770476424325,285785
2014-06-09,233.46572875976562,236.85174383000583,226.56672822080012,230.16436923293037,445501
2014-06-10,226.5666961669922,237.02102138396907,224.32346666697072,234.4815104405694,71582
2014-06-11,223.09608459472656,230.24905262918992,221.78401392958736,230.24905262918992,58987
2014-06-12,222.71517944335938,224.23887611765426,220.47194929327296,223.09609069530873,22927
2014-06-13,217.1705780029297,223.51935762686938,211.79528567130257,222.71519437445394,117600
2014-06-16,215.0542755126953,218.82121453352644,209.67897165247638,216.7049552053492,57595
2014-06-17,220.59889221191406,225.50860384662255,214.2501138050089,215.39288616827818,59119
2014-06-18,219.11753845214844,224.23887668511227,217.72081219163547,220.9375166602865,55639
2014-06-19,219.20220947265625,225.08539645974406,216.70501247219596,219.1175539105092,29682
2014-06-20,222.54588317871094,225.1700505890682,217.04360750642167,217.55151504282153,48677
2014-06-23,218.18637084960938,224.3235238608981,216.87430019428814,222.54586058063387,22242
2014-06-24,218.82122802734375,220.72586154015428,216.02776295856376,216.02776295856376,31225
2014-06-25,218.0170440673828,224.32350773123864,216.027767880872,218.3979811119229,33465
2014-06-26,221.5723876953125,224.3658401295187,217.5938091779905,217.5938091779905,86127
2014-06-27,218.73663330078125,223.47706097291788,217.5515328410602,221.99567893995345,64845
2014-06-30,218.77890014648438,225.08533745794549,217.59377425358457,222.54582625872104,124195
2014-07-01,217.63612365722656,224.23884270637322,215.85846057991944,221.61467586208602,135984
2014-07-02,215.816162109375,221.53007622888495,214.63106184135208,218.94822388911348,550302
2014-07-03,215.816162109375,220.0910092963403,214.1654821229773,216.28174182774978,96236
2014-07-04,217.84776306152344,220.93749683529106,215.18126828077874,215.18126828077874,180488
2014-07-07,215.4775390625,220.13329692032437,214.63103528532784,220.0909820647638,302241
2014-07-08,204.59996032714844,216.66263914996284,202.39905825681902,215.26591308449653,125915
2014-07-09,209.25575256347656,211.0334158442373,204.00743119085408,210.44086572285835,255428
2014-07-10,207.26649475097656,212.8110852213414,203.75349565211465,209.2980990391045,104446
2014-07-11,201.34095764160156,209.08646315456417,198.92841636162987,206.0390439500341,296372
2014-07-14,198.40733337402344,203.58430235007472,195.17172776399138,202.76461822867586,794178
2014-07-15,207.0355987548828,207.89842684985268,198.4073178051839,199.3995780138264,190985
2014-07-16,221.142822265625,222.69592857964355,205.52564220700538,207.0787353553125,226960
2014-07-17,217.95037841796875,223.25676584718232,215.96587119951812,223.2136349757232,60739
2014-07-18,215.01675415039062,218.9426245337941,213.1185350141759,216.5698473220978,64540
2014-07-21,222.6527862548828,226.44925105520866,214.4127882258554,214.4127882258554,138979
2014-07-22,223.817626953125,225.11186923658343,219.28777896102054,219.28777896102054,98919
2014-07-23,215.05990600585938,229.16715084364193,208.97696520886015,225.80212648736767,452557
2014-07-24,214.1539306640625,216.74241495049125,206.2159148188234,216.26785686483692,188187
2014-07-25,210.05548095703125,214.71476021150784,207.07872689111366,212.7302531123258,103042
2014-07-28,212.8596954345703,214.714783799525,207.5533077413237,208.8906939658928,85774
2014-07-30,210.74575805664062,213.7656563297143,208.41612487912613,208.41612487912613,89114
2014-07-31,208.41610717773438,212.2125451322997,207.29442813843218,208.80437714672462,32554
2014-08-01,202.89402770996094,207.89843345287258,201.81549255699343,206.25906528664692,32159
2014-08-04,205.5688018798828,206.9493321535458,203.6274385882575,205.30995080785695,25473
2014-08-05,216.2678680419922,221.74683199771493,212.68713652699117,212.94598760215436,392243
2014-08-06,211.8242950439453,218.2092176119791,210.61634099022382,216.56984951539826,73437
2014-08-07,208.50241088867188,215.2324728887031,206.6473356884426,212.04001146319322,816154
2014-08-08,207.3376007080078,207.941577761309,203.62743714385445,207.941577761309,122637
2014-08-11,209.36524963378906,211.2203380938398,206.2590761293831,211.2203380938398,68239
2014-08-12,220.6682891845703,222.43707627791798,209.06325373547435,209.53781182922876,274872
2014-08-13,227.13954162597656,228.64949109547499,220.8840366809117,225.02560183610714,553417
