Price,Close,High,Low,Open,Volume
Ticker,DABUR.NS,DABUR.NS,DABUR.NS,DABUR.NS,DABUR.NS
Date,,,,,
2014-06-02,166.11753845214844,169.22801335423483,164.99055379507823,168.59690469770288,707384
2014-06-03,167.06422424316406,168.01089419678448,165.44136343083449,166.38803338445493,756604
2014-06-04,166.2527618408203,167.96578667836113,165.89213227351496,167.24451378661428,780096
2014-06-05,170.2648468017578,170.80579118067317,165.66674391672458,166.79372856921933,1065738
2014-06-06,172.06809997558594,173.10492082139854,169.49856830428607,172.20333269212043,2834445
2014-06-09,170.8058319091797,174.36710150881737,170.0394904170319,174.36710150881737,1824714
2014-06-10,173.0146942138672,174.63755501370596,168.14612557148897,171.301682887844,1467347
2014-06-11,170.89598083496094,174.00645618634607,169.76899601510118,174.00645618634607,574316
2014-06-12,173.5556182861328,174.41212378079314,170.2197468159563,172.65403065867238,1167626
2014-06-13,170.44520568847656,176.6661570767372,169.18297429686424,173.55568138260688,1769039
2014-06-16,168.77723693847656,171.30168558270194,166.9740613007639,170.58041257618922,1098489
2014-06-17,169.9042205810547,170.80580839390947,168.01089442834262,169.0927970523407,566582
2014-06-18,170.4000701904297,173.55562704580802,169.1378529511328,169.1378529511328,851831
2014-06-19,171.84266662597656,172.20329629861496,170.0845591397288,170.0845591397288,519824
2014-06-20,170.2648468017578,172.51881610674727,169.31817694223489,172.11309062613967,585533
2014-06-23,169.27310180664062,171.30167426504244,168.59691098717335,170.40008650575274,675032
2014-06-24,167.51499938964844,169.94928345696812,166.25276834046053,169.27309267398283,1227539
2014-06-25,167.6051788330078,169.13788921134397,166.92898793332034,167.92074008905092,692152
2014-06-26,166.56834411621094,169.27310748480977,165.89215327406123,167.60516457131865,1455237
2014-06-27,168.6532745361328,169.9223610779213,167.7014527137885,167.7014527137885,522321
2014-06-30,169.9676971435547,170.6475679321289,168.38133197021486,168.38133197021486,653149
2014-07-01,169.51446533203125,170.60225592604914,168.8345944817691,170.3303048195427,398880
2014-07-02,169.01589965820312,170.4209689237099,168.6986348769652,170.4209689237099,378860
2014-07-03,174.04690551757812,174.68144876087655,167.24819827079773,167.24819827079773,1738431
2014-07-04,173.5030059814453,174.72677883684017,172.27924695805595,174.182876716219,871419
2014-07-07,175.2253875732422,175.67863481795723,172.50590410495184,174.0469419705814,1024039
2014-07-08,174.50013732910156,178.76065739619048,173.50298815441934,174.95338443904728,1989028
2014-07-09,176.58511352539062,177.3556254733381,173.6390066980461,175.40666802805143,870430
2014-07-10,175.8599090576172,177.44627421664208,173.23108089832138,176.76640343420283,851410
