Price,Close,High,Low,Open,Volume
Ticker,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS
Date,,,,,
2016-07-21,607.4827270507812,618.2808934931237,579.964894459747,580.8357126195965,11824029
2016-07-22,609.5726928710938,617.1488212554528,606.2635945970405,609.5726928710938,820402
2016-07-25,603.5204467773438,610.4434609950514,602.6060984430464,610.4434609950514,260240
2016-07-26,602.7368774414062,610.8790068787231,600.8645969298916,605.1316276465616,312995
2016-07-27,600.777587890625,607.5264299567008,598.2957237566516,602.6933456986332,168708
2016-07-28,592.0692138671875,606.9601812723428,590.2839943430326,602.2577425388644,375033
2016-07-29,602.4319458007812,609.5726647898517,596.5103934014978,600.8644838642824,726870
2016-08-01,598.1649780273438,606.394166605268,594.4204176526575,605.0879394468013,347573
2016-08-02,595.3348999023438,600.8645743627177,594.333437684862,596.5540135252277,268056
2016-08-03,592.1563110351562,599.122855870864,590.1534400249941,596.5104015574735,116318
2016-08-04,593.0706176757812,595.6395415332573,591.3725118614825,593.9414357189586,134769
2016-08-05,607.5263671875,622.6350424109678,593.4626313329713,593.8545101715873,593783
2016-08-08,610.3563842773438,616.5391710887908,606.3505894110341,609.5726267827029,347844
2016-08-09,608.0922241210938,619.1516238122596,606.3505880484854,612.3592537591901,341932
2016-08-10,601.082275390625,610.4000409597808,600.8645708359743,609.485692460353,84904
2016-08-11,595.6830444335938,606.960148204658,594.3332871587935,601.7352401856796,96842
2016-08-12,596.6845092773438,601.8223036304958,594.7686990310357,597.9472060181272,74615
2016-08-16,593.8543701171875,599.1228086034374,593.288317133737,596.6845287334102,64845
2016-08-17,591.241943359375,602.1706995836089,589.7180117263,593.9849884085995,90769
2016-08-18,587.7587890625,593.7674031032648,586.9315010940571,591.9822363190635,152898
2016-08-19,578.7456665039062,592.069225459455,577.0476137923907,587.8021956677344,222490
2016-08-22,571.3001098632812,580.8355771192541,570.3857616388477,579.9212288948205,132422
2016-08-23,562.5049438476562,576.3945027165088,560.8068379783327,570.4728973106096,221090
2016-08-24,557.19287109375,565.5527557098493,555.886644105345,562.5484230064153,188676
2016-08-25,569.4280395507812,578.9199259956358,557.3671756474303,557.3671756474303,283053
2016-08-26,564.1157836914062,574.6527114003096,563.070791657808,570.4292130042048,86564
2016-08-29,558.1074829101562,563.8113322797489,557.1495508672157,561.2424076039764,66739
2016-08-30,567.5558471679688,574.6094543880939,558.6299592761825,560.8070051034474,141778
