Price,Close,High,Low,Open,Volume
Ticker,M&MFIN.NS,M&MFIN.NS,M&MFIN.NS,M&MFIN.NS,M&MFIN.NS
Date,,,,,
2014-06-02,160.4772491455078,162.57793686959414,158.53609283535354,162.47157815703522,1206339
2014-06-03,161.93978881835938,164.20003500649915,159.75932166219332,161.4079685346468,1208381
2014-06-04,164.04049682617188,166.67300533957268,161.4079750029554,161.7004715122836,1503613
2014-06-05,167.60369873046875,168.32165682714663,163.8809431848679,165.37004540310824,1950324
2014-06-06,168.3216552734375,169.11939240007868,164.97117531332367,168.53438606119622,2028309
2014-06-09,165.15728759765625,170.0766480395761,164.20001916521568,169.6511865297266,2160165
2014-06-10,157.3395233154297,166.30071530448086,156.03655902321688,166.30071530448086,3651637
2014-06-11,153.24449157714844,158.45634870839774,151.56925178496118,157.95110815294998,2825708
2014-06-12,151.11720275878906,154.09540694239593,149.122873402928,153.24449716557177,3664413
2014-06-13,145.9585418701172,154.17519697137342,145.08103902051013,152.1010884369983,2909368
2014-06-16,149.4685821533203,150.23972634477255,143.59195178507943,145.9585570793238,1817647
2014-06-17,151.7288055419922,152.89881815803616,149.4419663314922,150.50562021417545,2186412
2014-06-18,146.7562713623047,154.12200293321817,145.45330700677806,152.10108052808923,3390070
2014-06-19,146.30419921875,149.36218212457322,145.34693080752487,146.8892054543744,2066772
2014-06-20,144.8417205810547,147.63378730567686,144.12376246755417,146.83605015298014,1418239
2014-06-23,144.92149353027344,145.5862655897077,142.58146819664802,143.69829483956494,2360679
2014-06-24,148.8569793701172,150.50562631786738,143.91102521705082,143.91102521705082,2269507
2014-06-25,148.37832641601562,151.48948242583702,147.97945787196912,150.31948311442457,1139526
2014-06-26,147.12855529785156,148.93674703050792,145.82559086788706,147.89969941290627,1289682
2014-06-27,145.87875366210938,148.35171706714613,144.52260342366696,147.52740036873845,1064201
2014-06-30,150.00038146972656,150.9842563321033,145.2937645566212,145.2937645566212,2453251
2014-07-01,151.75540161132812,153.29768978994136,149.4419693434083,150.85130577518723,1942857
2014-07-02,152.68609619140625,154.2017914155964,151.22358699187288,152.79245493090383,1862842
2014-07-03,147.8358154296875,154.32788530563852,147.37787670441952,154.32788530563852,2776203
2014-07-04,146.7044219970703,149.50597477139326,144.92651998810553,148.374577680794,2368022
2014-07-07,146.9738006591797,148.80558248056303,146.27341587161408,148.0513177913512,1949877
2014-07-08,140.99356079101562,148.10519532308464,140.07766989497964,147.48561691444374,2466794
2014-07-09,137.70713806152344,142.3674266208472,136.1716819950069,140.6164509167638,1866206
2014-07-10,138.1381378173828,143.39105096884984,133.07379084819132,138.46139027743814,2874539
2014-07-11,132.93910217285156,138.56914758733163,132.1309575538286,137.9226291954214,2391288
2014-07-14,131.64610290527344,133.9897038514353,130.918778008759,132.0232353318707,1756320
2014-07-15,134.79783630371094,135.659847421416,132.72360814691444,132.91217434298684,1441439
2014-07-16,139.70054626464844,140.1854249515541,134.82476550968266,135.36352410073098,2056033
2014-07-17,139.16177368164062,140.61642307955998,138.0303767091571,138.4613754485855,1629966
2014-07-18,138.03041076660156,139.4581205674295,136.62962743832196,138.51528952439364,1651630
2014-07-21,140.56256103515625,142.12497042898426,137.92263443070334,137.92263443070334,2623521
2014-07-22,140.42787170410156,143.33717080628048,139.18871480368793,141.1551964796463,2449265
2014-07-23,138.16506958007812,142.17883907444914,136.6296002606389,140.40092368260932,2539743
2014-07-24,134.87863159179688,140.48175058824555,132.8313435575685,138.2458963734506,4117213
2014-07-25,128.60208129882812,133.45092209280406,126.66253958785396,132.26564510460213,7655060
2014-07-28,126.3931655883789,128.76370605419984,124.83075625666775,128.76370605419984,2523688
2014-07-30,126.42010498046875,126.60867115816953,124.88463560726821,125.82746649577211,2159251
2014-07-31,126.74336242675781,128.65596423072228,125.80053150110349,126.4201099618077,6209497
2014-08-01,130.19142150878906,133.20848050165392,125.01932808299783,126.60867743822196,5611003
2014-08-04,133.98968505859375,134.36681743229596,131.26895206743342,131.26895206743342,3134535
2014-08-05,133.61256408691406,136.76430962653856,131.02651715611762,134.15132274054156,2467686
2014-08-06,134.50146484375,136.5218258929046,132.40031092615885,132.42725087127505,3539328
2014-08-07,132.4811553955078,134.66314325970475,131.83465046053087,133.18155371967936,1840808
2014-08-08,132.83135986328125,133.61256463344796,130.00286680757128,131.0534576473842,2150770
2014-08-11,140.23931884765625,140.93970373755192,134.0974541167677,134.58233285205068,3703178
2014-08-12,140.29315185546875,142.04411349484022,139.59275371626384,141.8824873037795,1916570
2014-08-13,137.30308532714844,142.55599919067544,135.06721730554673,140.02381862109957,2861004
