Price,Close,High,Low,Open,Volume
Ticker,MAHLOG.NS,MAHLOG.NS,MAHLOG.NS,MAHLOG.NS,MAHLOG.NS
Date,,,,,
2017-11-10,414.5410461425781,418.73954691295756,401.6077574623621,414.0584605242515,10214458
2017-11-13,411.8385314941406,415.795709549376,408.3639095475107,414.05841330340365,442628
2017-11-14,410.2460632324219,414.0102549941654,404.4067884507495,408.7500594484306,258651
2017-11-15,407.0127258300781,411.16295040202584,403.44158044142443,410.1977791569507,271204
2017-11-16,400.83563232421875,407.30229186798005,398.76051990350726,405.613242079428,106384
2017-11-17,393.74163818359375,404.3102460999421,390.99089412561347,403.44159783286676,222289
2017-11-20,403.7793884277344,406.3370862865816,399.6774107158152,403.4415726075798,277728
2017-11-21,409.23260498046875,417.8226231091682,406.33709126598427,406.33709126598427,536434
2017-11-22,411.0181579589844,414.0584413225129,407.20571996912827,413.96191831238605,87422
2017-11-23,412.4176940917969,415.9888397649268,411.1629831551249,411.1629831551249,108904
2017-11-24,432.54144287109375,436.25735767140014,412.3693718254551,413.9618983242476,1805688
2017-11-27,434.03753662109375,441.08327518684126,427.5708772598921,431.43156238187754,269238
2017-11-28,430.9489440917969,435.5817541053095,423.3240974444921,432.39670090285557,155667
2017-11-29,432.78277587890625,445.18523213947486,426.6056858659033,431.4315420408569,445404
2017-11-30,432.0106506347656,439.1529118821307,429.8390153562276,429.98378515052576,129143
2017-12-01,426.267822265625,439.15286269950354,424.6752957973221,434.32700706544307,137028
2017-12-04,415.3131408691406,431.3832643437413,413.2863049846743,431.3349881126386,122982
2017-12-05,414.1549377441406,417.91909925993275,403.44153231097437,417.91909925993275,129246
2017-12-06,416.3266296386719,419.8012520718419,410.19778623574115,414.0584712826658,152293
2017-12-07,424.2892761230469,425.64050994622426,411.40423438679835,418.88431137564925,163933
2017-12-08,426.99169921875,430.4663211548834,412.1280698052359,420.3802711307032,469640
2017-12-11,424.3858642578125,428.3430433211935,421.44207389895723,425.640575260149,90895
2017-12-12,419.8495178222656,423.6136800221478,416.95400390625,422.6002619334186,35698
2017-12-13,419.4151611328125,424.6753563052879,418.88432871930667,422.02113532837984,48851
2017-12-14,419.4151611328125,422.7450137766275,417.91915745497647,419.4151611328125,32675
2017-12-15,423.7584228515625,430.4663747785294,421.77983358344704,427.08827542488626,70626
2017-12-18,419.7529602050781,423.7584149011684,414.0584558638555,422.7449968959644,49225
2017-12-19,429.9837951660156,431.2867822544262,416.9539831912879,418.40174007736874,435065
2017-12-20,427.0400695800781,429.5012447060677,421.2972883465136,429.5012447060677,125262
2017-12-21,438.6221008300781,455.56084504511256,424.67536402510495,424.67536402510495,370894
2017-12-22,435.1956481933594,443.93046442341773,434.2304770820613,442.0483689745126,99855
2017-12-26,432.3002014160156,439.2011700333267,429.54945743437713,435.29223821262786,55415
2017-12-27,433.65142822265625,438.5738074588491,431.43154614294616,431.43154614294616,91248
2017-12-28,427.2330322265625,436.88474437199346,424.8201041902048,435.2922177589349,53778
2017-12-29,422.93804931640625,430.948958829685,421.63506225095546,430.948958829685,79039
2018-01-01,429.16339111328125,432.58976672911723,422.93805421356075,422.93805421356075,46849
2018-01-02,432.9275207519531,434.32703074400297,423.9996873422153,428.4877568903195,106511
2018-01-03,427.1365051269531,437.2225560042914,425.15791593794785,436.2091380205936,30109
2018-01-04,434.5201110839844,439.10467454841137,425.7370467664602,429.5012087726308,166854
2018-01-05,434.6648864746094,439.05640396253636,427.66739478096747,429.98379993344207,68879
2018-01-08,447.06732177734375,449.23895702667403,435.967852725211,439.15290597568685,297501
2018-01-09,452.2792663574219,453.43745421717256,441.95192191017804,450.7349864230644,169379
2018-01-10,454.1130676269531,457.973752580211,447.8394545779092,450.73496829285256,186450
2018-01-11,477.9527893066406,482.103013678555,456.52597691682985,458.35979630314813,381125
2018-01-12,520.3238525390625,540.399463797415,482.5856762222372,485.77072990342714,1285300
2018-01-15,511.20294189453125,539.0963538060759,506.81136587360226,515.4496597645311,282505
2018-01-16,485.2398681640625,511.25124632489735,482.77869314570324,506.7149294602343,140510
2018-01-17,490.6448059082031,506.13582198817113,477.5667179290381,478.7731819794395,121901
2018-01-18,482.0064697265625,497.35268522593014,478.72489368498174,497.0631456608177,61607
2018-01-19,475.0572814941406,489.6796194393283,474.0438340505074,482.5856051526468,86267
2018-01-22,474.5263977050781,484.37115537666966,468.39755491220916,475.78113789324607,42888
2018-01-23,489.7278747558594,494.55376034620787,473.2234408809638,478.24234304392576,102201
2018-01-24,490.74127197265625,496.09795995291967,477.7597085149713,489.3417620547282,141817
2018-01-25,479.0144958496094,490.7895972811008,477.80803174616517,490.7895972811008,41077
2018-01-29,466.8533020019531,487.4114359337186,460.48316645326827,482.5855801323947,40502
2018-01-30,459.5662841796875,482.5856243522265,457.0085862615585,474.8642543625909,78413
2018-01-31,444.5578308105469,469.07317175625343,441.8553339588929,469.07317175625343,144715
2018-02-01,452.13446044921875,461.35183362790116,445.13696924879554,448.80460802714236,87426
2018-02-02,458.60107421875,459.7592914013015,436.2573675882956,445.0886778775196,127051
2018-02-05,452.37579345703125,455.46432389891845,444.0270382707272,455.46432389891845,92020
2018-02-06,449.9145202636719,451.70009276060716,425.833518033968,434.32701226981453,102924
2018-02-07,453.2926330566406,463.2821605340943,449.8662871928985,454.1130344401904,101318
2018-02-08,458.6493835449219,462.413545477797,451.748385637514,458.6011073102649,36534
2018-02-09,455.51263427734375,458.45639513793145,445.9091674815249,458.45639513793145,36127
2018-02-12,455.07818603515625,459.4214561033603,452.7135049939266,458.55280798065655,20919
2018-02-14,449.4320068359375,458.4563643192653,448.80465138622816,455.07826479270227,20181
2018-02-15,447.26031494140625,457.92547405832136,444.17178486569964,449.7697658780149,21182
2018-02-16,450.49365234375,452.90658031559656,439.2011376536333,447.30859920278743,23520
2018-02-19,438.6221008300781,456.1399537051757,436.7400050485454,456.1399537051757,17048
2018-02-20,432.44500732421875,443.978816624939,431.431589198582,443.978816624939,23286
2018-02-21,430.4663391113281,441.03497513820054,428.5359967834746,441.03497513820054,15883
2018-02-22,431.3832702636719,439.1528864732469,427.0882467349709,436.2573729360606,39910
2018-02-23,431.09368896484375,434.2304952074975,428.4394682979829,428.4394682979829,22145
2018-02-26,440.64892578125,442.8688373460692,431.4315520550152,431.4315520550152,33863
2018-02-27,442.57928466796875,444.1718408653319,434.32708189386153,444.1718408653319,22322
2018-02-28,451.0727844238281,451.7001398382213,437.2708180337359,439.2494367464388,74018
2018-03-01,463.2339172363281,472.83735275503983,444.0752635210947,444.0752635210947,171277
2018-03-05,464.4886474609375,467.8184999362989,449.9145562159009,463.2339366626585,51935
2018-03-06,467.57720947265625,472.8373749506634,457.3946354253202,464.48864978571237,213504
2018-03-07,453.8235168457031,464.44040020534186,449.769785962875,464.44040020534186,19081
2018-03-08,452.1827087402344,460.67620354729013,448.9976555512604,451.36230732650245,14955
2018-03-09,456.6707763671875,459.32499733561156,452.27925891039797,453.72701580226567,18484
2018-03-12,492.9129943847656,496.0980478909049,453.6305107173645,453.6305107173645,335552
2018-03-13,491.9960021972656,496.9666572692363,484.1298630800465,491.2721238222819,151976
2018-03-14,479.1593017578125,489.1005543263284,477.95283763761927,489.1005543263284,21278
2018-03-15,500.20001220703125,502.85423320764744,469.55582429082625,477.75978011091263,308551
2018-03-16,516.9940185546875,520.0342727343494,500.48955435748684,503.81940704801343,355773
2018-03-19,485.5293884277344,520.2273068541493,479.7866371287813,520.1308132923248,47277
2018-03-20,465.64691162109375,484.46775221983916,463.28223012296473,482.58565637808823,29301
2018-03-21,475.588134765625,479.15928018247337,440.1180912290715,466.1777150518455,24655
2018-03-22,465.3090515136719,477.75975437306255,462.31701483777164,472.9338982682841,20270
2018-03-23,456.86383056640625,468.10807006993156,449.818062560581,449.818062560581,26833
2018-03-26,446.6812438964844,463.18567820596144,441.131509194344,463.18567820596144,311757
2018-03-27,460.1454162597656,466.41902969592394,448.8046535097871,452.568815680544,43909
2018-03-28,467.9150085449219,472.8856640283987,452.90660744296554,459.4215133571691,22671
2018-04-02,483.79205322265625,489.3417874990259,467.9149755544719,467.9149755544719,29193
2018-04-03,478.09759521484375,491.2721771795055,474.3816799287367,487.2667222938326,224033
2018-04-04,471.3896179199219,479.73834308132643,466.1776992232701,474.86424020258573,245205
2018-04-05,478.5318603515625,481.57217313923366,470.03836573010074,473.8990504588901,53379
2018-04-06,481.76519775390625,486.880622777851,473.07865696896465,475.1055223763885,21295
2018-04-09,479.4970397949219,486.44628420834465,471.14831481601374,471.14831481601374,169132
2018-04-10,478.2423400878906,486.44629546780396,476.89110626919546,478.7249256984738,91081
2018-04-11,477.8080139160156,482.6338701497081,476.7945958888158,478.14582974331194,15854
2018-04-12,472.1617431640625,479.6418196526397,470.13487783751077,477.75972410912317,76500
2018-04-13,472.9821472167969,479.4970529881285,471.2930975723776,476.7945853389329,6963
2018-04-16,472.0169982910156,477.7115323535508,468.1080664254215,468.1080664254215,10554
2018-04-17,469.1214904785156,475.1538109993004,468.1080724128998,474.912518178469,8892
2018-04-18,466.2742614746094,472.9821843447603,464.2473958512645,472.9821843447603,14493
2018-04-19,469.26629638671875,471.7757181951848,460.0971690651515,468.97672732480237,10576
2018-04-20,468.59063720703125,474.86425026953526,465.2125378656829,465.2125378656829,9692
2018-04-23,468.0115051269531,472.49954527897955,467.1428569450589,470.5209561171822,10216
2018-04-24,470.2314758300781,478.2906327359528,467.5289784788256,467.5289784788256,58211
2018-04-25,461.1105651855469,474.8160087322257,458.5528672612221,468.6388891618026,68576
2018-04-26,466.41900634765625,471.0035697830445,461.3518572874903,469.02498050333145,268036
2018-04-27,470.2314758300781,476.794628981551,467.14291584427264,476.69810595924,18445
2018-04-30,468.9766540527344,480.7517538183766,467.3841275524243,471.0035193507136,257830
2018-05-02,473.4647521972656,477.7597761077872,469.07323472400924,469.55582035644136,173157
2018-05-03,474.23687744140625,484.4194218717169,466.2259387675376,482.5856024732561,48988
2018-05-04,472.9821472167969,478.6284047762219,469.31450834221886,478.6284047762219,17305
2018-05-07,504.4467468261719,511.29943872241097,480.6552533907705,484.85375396494055,190807
2018-05-08,501.0203552246094,511.3476990292845,495.13283436414673,503.7711285389247,47590
2018-05-09,530.216796875,532.7745242235197,497.3044811705951,500.92387331885277,200098
2018-05-10,546.7694702148438,554.4908396088751,525.1013655709687,529.8789746654003,540956
2018-05-11,535.8148803710938,554.0083361387259,530.7477309551907,554.0083361387259,75862
2018-05-14,535.0426635742188,558.7859118784353,526.0183358711892,526.0183358711892,83548
2018-05-15,516.5595703125,547.1555051239342,506.7630603528528,535.6699457856834,30114
2018-05-16,540.7854614257812,544.7909458387423,513.5193725124914,534.7048940871714,90471
2018-05-17,517.8626098632812,558.7858934358934,512.7472141440489,544.4048185954438,145418
2018-05-18,525.1495971679688,544.3565265441806,520.9028794696301,522.254083728904,112667
2018-05-21,516.414794921875,540.4958260986814,504.01236961889435,516.8008869328363,32437
2018-05-22,515.6427001953125,525.1013659275493,507.92133079603786,520.2272632761319,168669
2018-05-23,521.1442260742188,529.8790140688886,512.5059316404005,517.3317878705361,72267
2018-05-24,535.4287109375,540.4958596214511,512.5058954624831,522.8332388478391,36046
