Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2014-06-02,2104.5185546875,2119.0509407189247,2055.3530175887754,2055.3530175887754,246577
2014-06-03,2115.8818359375,2133.9453562954154,2091.5706342985986,2122.9894216937023,372134
2014-06-04,2147.752685546875,2166.7669582089407,2116.922356376655,2118.0994746096057,296026
2014-06-05,2156.037841796875,2197.50711798302,2143.316341051999,2182.114608297931,553410
2014-06-06,2165.861572265625,2184.7398965460816,2154.950957032659,2174.870671761533,252012
2014-06-09,2204.88623046875,2217.426686226123,2161.334618059965,2186.6416689408275,315081
2014-06-10,2231.280517578125,2249.117678790676,2183.0204201144606,2240.9687016936086,559445
2014-06-11,2217.019775390625,2247.759483226132,2202.9401098445837,2236.441459644933,395488
2014-06-12,2246.26513671875,2253.0559494894637,2179.1718181220567,2191.168920683651,446513
2014-06-13,2176.09375,2259.982848648158,2167.22037569412,2250.022988337609,328108
2014-06-16,2155.992431640625,2181.2090715960626,2137.2951488179765,2172.154654528416,225806
2014-06-17,2186.143798828125,2193.432649159161,2155.856816366548,2162.1949086448203,190284
2014-06-18,2204.75048828125,2217.4266717867686,2173.060029517454,2186.641654701938,501190
2014-06-19,2154.99658203125,2217.426743606958,2146.802290360187,2210.183209940623,305893
2014-06-20,2142.63720703125,2170.6608052302554,2138.653351868103,2139.7851540229863,135952
2014-06-23,2155.22314453125,2168.4877783793722,2128.7389720805645,2165.8167693004993,158501
2014-06-24,2186.279541015625,2192.9797209399767,2163.28119000442,2164.0055875501835,217974
2014-06-25,2237.3466796875,2288.956862100364,2165.001968551869,2186.5966227704916,430866
2014-06-26,2251.742919921875,2267.180745423766,2207.0141874777028,2250.0226690798327,539042
2014-06-27,2222.587890625,2245.5409281439215,2209.277940685175,2245.5409281439215,151990
2014-06-30,2208.689453125,2235.988433858996,2198.59364483389,2222.8142119955537,240672
2014-07-01,2339.47998046875,2359.0373858120083,2215.2534408673323,2221.7725759817517,1505073
2014-07-02,2392.132080078125,2413.00255918189,2325.4010591440483,2348.5351428999534,775548
2014-07-03,2381.220703125,2410.285466024636,2367.729712116613,2399.4201671545025,395691
2014-07-04,2392.62939453125,2403.3136494728114,2369.223641076625,2378.5950499275664,346996
2014-07-07,2389.3251953125,2408.475201064325,2370.9899987630442,2398.5153412102995,252391
2014-07-08,2344.77734375,2409.516434515278,2334.2290348655433,2408.4752648341137,325370
2014-07-09,2278.49853515625,2360.4863185878776,2256.541575729416,2360.4863185878776,406355
2014-07-10,2292.30712890625,2381.31210858255,2254.5502472891826,2278.997177681475,349298
2014-07-11,2267.814453125,2318.7908647682357,2238.2518702031357,2286.2402800416335,273178
2014-07-14,2272.341796875,2286.738453316657,2247.306420938086,2247.306420938086,142260
2014-07-15,2280.3095703125,2308.2878510480737,2269.9423072169247,2287.1456992540693,171337
2014-07-16,2328.93212890625,2340.386100759129,2265.4154725639705,2286.19531847898,255637
2014-07-17,2318.248046875,2335.813529720152,2288.277834280552,2331.5126810851407,214428
2014-07-18,2285.87890625,2311.7744141896137,2268.1321550578186,2308.8770440708336,260815
2014-07-21,2301.04443359375,2329.701575983945,2285.878284585693,2285.878284585693,238243
