Price,Close,High,Low,Open,Volume
Ticker,MGL.NS,MGL.NS,MGL.NS,MGL.NS,MGL.NS
Date,,,,,
2016-07-01,425.70233154296875,449.14338954407407,423.8205129979782,441.82061200561435,20001438
2016-07-04,434.497802734375,436.82966353475695,426.5204867113273,428.3205064682556,3591938
2016-07-05,423.411376953125,435.6841704879982,422.38864415855227,433.63870489885267,1611597
2016-07-07,414.1659240722656,425.94777708611394,412.81589667259715,424.43415237338365,1050990
2016-07-08,411.13861083984375,417.8886477342292,407.9067650058154,414.32953237792225,1306333
2016-07-11,411.87493896484375,418.70679890910264,410.7294832484016,415.6386005780638,963350
2016-07-12,406.4339904785156,414.0022127471141,405.0839882568481,413.511296038582,790935
2016-07-13,409.29766845703125,412.5704134321999,403.07944801039827,407.0476562866028,835625
2016-07-14,414.4522399902344,417.2340932493161,407.456757455284,409.8294926153274,676085
2016-07-15,414.6567687988281,420.4659209585925,410.7703842304863,415.1886098202719,801549
2016-07-18,417.193115234375,418.7476639342943,411.62945937075034,415.4749193159127,500134
2016-07-19,416.8249816894531,420.71136625238114,415.63860167735555,417.356797741094,306063
2016-07-20,417.3568115234375,419.525000094227,416.4568016537524,417.3568115234375,436612
2016-07-21,412.2840881347656,420.343228507258,411.09773293355664,417.31592908804674,376728
2016-07-22,415.7204284667969,417.07043075251687,412.3658599299039,413.0203989262947,246857
2016-07-25,412.8158264160156,416.82495866631683,411.67037075981267,416.0067724877346,209098
2016-07-26,408.60223388671875,415.02500134591446,407.2113321559089,414.00226846926114,203104
2016-07-27,407.45672607421875,412.3249439336135,406.31127039232035,407.783995559181,208083
2016-07-28,414.28863525390625,418.2977431035307,405.82040211120045,408.84770138876854,653293
2016-07-29,416.2931213378906,421.856777413579,414.165857230108,414.82039619110867,544200
2016-08-01,419.19775390625,421.3659676958599,412.3659179004144,416.4568496256169,1819762
2016-08-02,424.9659423828125,427.0523072549091,420.5477168222707,421.24315513359494,1016034
2016-08-03,418.37957763671875,428.6887302110551,416.538658425911,424.6386979596521,461560
2016-08-04,423.00225830078125,424.2295375801839,417.2340556752131,420.1386066488417,369454
2016-08-05,425.0886535644531,427.0932198521505,420.5886292173519,423.77957554781926,417478
2016-08-08,433.8841857910156,435.60240698741194,426.2750631730571,427.09324947473283,657734
2016-08-09,442.0660705566406,447.79337495014397,431.63419469704525,433.8433078078799,1274819
2016-08-10,437.81146240234375,443.45696776052404,435.2751048867137,443.45696776052404,399445
2016-08-11,435.6841735839844,440.55239170836944,433.31141350846474,437.40234471582613,209485
2016-08-12,439.2432861328125,441.5751470026612,436.0932889179433,437.48421558692064,219502
2016-08-16,439.44781494140625,441.8205750418814,437.03420545417794,439.28421764189125,351340
2016-08-17,449.4705810546875,450.9024069431054,439.447799835762,439.5705477443045,881986
2016-08-18,467.1025695800781,469.14803529038124,450.77974322423347,450.820642550814,1206667
2016-08-19,472.3797607421875,476.1843463714342,461.08880169213836,469.1479653521903,749894
2016-08-22,483.9981384277344,486.65724413705726,470.457163957117,475.12083626570984,1282012
2016-08-23,474.9162292480469,493.3663196038146,462.35704007137554,485.9617438660427,1419004
2016-08-24,487.5572204589844,489.2753916584538,474.50713940622126,474.5480387322796,416093
2016-08-25,480.0708312988281,489.27542755295985,478.63900521485203,489.27542755295985,273017
2016-08-26,487.8844299316406,489.2753564845223,482.6889674425477,482.72986676566586,292354
2016-08-29,502.2845458984375,503.18453077498043,487.88443830688055,489.2753648836395,640981
2016-08-30,525.1528930664062,531.8211318486849,504.00279572121525,504.4936875599766,940134
2016-08-31,533.6619873046875,541.1484115479914,523.6392056343426,527.7301369283609,872126
2016-09-01,520.4891967773438,538.3665461538594,516.7255101088339,535.5028943126155,849646
2016-09-02,519.7936401367188,531.780086956483,500.72991323169776,519.875488712863,1048848
2016-09-06,533.3347778320312,535.6666390041635,519.9574503436827,523.6392890951329,398256
2016-09-07,529.3665771484375,536.7302544194358,524.0892651165955,536.6484557583444,284368
2016-09-08,531.2891235351562,534.275522772454,528.1391270285131,531.8209644748777,146259
2016-09-09,526.66650390625,535.0120137198345,524.7028369131268,530.1846948256468,210462
2016-09-12,507.2346496582031,519.548344529101,505.02553647336623,519.548344529101,275224
2016-09-14,516.561767578125,522.6981632487519,509.3208406620316,509.3208406620316,264287
2016-09-15,505.05224609375,515.7751457104528,502.1955588581728,514.2018830188381,226065
2016-09-16,501.491943359375,512.5460256354701,497.8072324211792,506.9568726903336,174090
2016-09-19,503.3548889160156,509.2338283449302,501.90584956706664,504.9281013146426,100918
2016-09-20,499.0491638183594,504.596924597802,495.15744801555746,504.596924597802,111000
2016-09-21,499.25616455078125,502.36124885157164,498.0141308304651,500.7052038911501,81843
2016-09-22,508.24029541015625,514.3262922460508,502.6097514651968,506.7498647392099,232404
2016-09-23,513.2911987304688,519.8325465494471,510.1446726110896,511.7179356707792,362475
2016-09-26,515.071533203125,516.9345843605068,511.3454308883614,515.3613714840383,171555
2016-09-27,525.6287231445312,527.4089919051252,515.1542678412206,517.5141119764382,231825
2016-09-28,547.8197021484375,550.5936080306567,526.2083336792854,527.4503675117305,963282
2016-09-29,535.8963012695312,563.0140446804553,529.1892870799157,552.8707666107204,970935
2016-09-30,546.619140625,551.8770639294121,538.5044786990728,542.0235747556369,364893
