Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
2014-06-02,22663.359375,22782.39280653035,22167.770536263382,22167.770536263382,5101
2014-06-03,22849.8125,22949.837130478987,22605.097087746468,22639.57109201972,3628
2014-06-04,22794.60546875,22949.88661485561,22708.616684867688,22840.899130554644,2060
2014-06-05,23489.994140625,23562.14330126544,22666.163613076445,22666.163613076445,7363
2014-06-06,23974.40234375,24179.080189328,23540.8686804976,23540.8686804976,9635
2014-06-09,24216.408203125,24264.76991306231,23759.479595814453,23787.058794416676,4142
2014-06-10,23878.41796875,24264.428686571213,23829.365618259326,24190.900178919474,6130
2014-06-11,23427.841796875,24229.312282467654,23299.49924963504,23900.381841897717,7476
2014-06-12,23508.26171875,23723.035495935394,23349.33697262343,23426.559112946954,2877
2014-06-13,22929.19921875,23717.27445045059,22851.33646013877,23442.319299625116,5082
2014-06-16,22461.884765625,23058.187004831725,22111.579203242567,22900.591536195538,6487
2014-06-17,23116.591796875,23196.078225361223,22459.02330145575,22459.02330145575,5179
2014-06-18,23130.9765625,23529.003229190344,23048.33705471593,23048.33705471593,5118
2014-06-19,22961.80078125,23393.02009415018,22851.335856997182,22981.352078252512,2692
2014-06-20,22832.13671875,23146.835180027396,22762.746231304558,22913.396884807542,1916
2014-06-23,23256.0625,23341.803109376786,22900.58592342768,22949.83449530602,4893
2014-06-24,23440.40234375,23686.595206638674,23246.312935457394,23246.312935457394,5502
2014-06-25,23137.57421875,23590.07057094897,23054.246003491924,23167.517741097734,5333
2014-06-26,22811.044921875,23331.011575498593,22641.48175404461,23225.619662695015,10634
2014-06-27,22827.998046875,23196.08116403256,22763.186146130553,22989.237128174944,5171
2014-06-30,23256.75390625,23314.27662962598,22850.94562693416,22850.94562693416,3791
2014-07-01,23294.3359375,23417.703650738906,23146.83641608262,23343.63454371663,2941
2014-07-02,23507.37890625,23673.296579346086,23303.291665267872,23393.072198692276,8725
2014-07-03,23375.736328125,23687.57789781556,23196.077154707324,23516.192869156577,3469
2014-07-04,23385.63671875,23609.767761691342,23218.339687804746,23609.767761691342,3614
2014-07-07,23265.8671875,23501.373523990707,23186.232614443263,23393.07666070635,2195
2014-07-08,22612.73046875,23393.07417463874,22423.86217515055,23393.07417463874,4275
