Price,Close,High,Low,Open,Volume
Ticker,OIL.NS,OIL.NS,OIL.NS,OIL.NS,OIL.NS
Date,,,,,
2014-06-02,109.25215148925781,110.16544340656257,106.83574889644233,109.38534170840585,1128062
2014-06-03,108.93819427490234,111.05968271924178,108.07246672937424,109.25213014470742,883631
2014-06-04,106.94989776611328,110.35569815183514,106.58838895783524,108.46252810229716,766334
2014-06-05,109.10945129394531,110.35571006214315,106.20786070712616,106.5884004615506,2223812
2014-06-06,113.39048767089844,116.1398655511244,110.16543297014863,110.16543297014863,5002231
2014-06-09,115.88301086425781,118.1757429461927,115.11242029831278,116.10181838056398,2591078
2014-06-10,113.13361358642578,117.01509063894594,112.848210990061,116.2540199519052,1210391
2014-06-11,113.3143539428711,116.62502539244171,112.44863516378003,113.20971446631268,1857347
2014-06-12,116.02570343017578,116.56796663099085,112.8767550068815,113.01945630761156,2906861
2014-06-13,112.04907989501953,116.44427785037216,110.23201623604066,115.15996625050835,1577702
2014-06-16,113.65684509277344,115.04580485975808,107.90122944993831,111.32606032034505,1659641
2014-06-17,114.78894805908203,117.01508471409235,111.90638023979237,113.65684882821135,2255285
2014-06-18,113.27632904052734,117.92839716851057,112.46769405630431,116.06376896185407,2648315
2014-06-19,106.80719757080078,113.78053933327122,105.80828843395112,113.59026511972127,3514670
2014-06-20,108.05345153808594,109.59462382623867,107.50166853640152,108.94771243169536,1777442
2014-06-23,111.5258560180664,112.63893320963905,106.88330787011806,108.1200554664228,1501652
2014-06-24,113.70442199707031,114.51306561292104,111.49731607120997,112.63892648897745,2035283
2014-06-25,111.85882568359375,114.73187394383868,111.3260735708006,114.16106873083146,1196309
2014-06-26,108.70985412597656,109.40433829959045,106.16977320930299,108.18662193166433,2142905
2014-06-27,109.29021453857422,110.8313870453753,108.46253991862422,108.46253991862422,804434
2014-06-30,111.81120300292969,112.20125363883896,109.51847207391157,109.51847207391157,1223564
2014-07-01,112.50572967529297,113.11458794834931,111.30703532313431,112.7340482615157,1243289
2014-07-02,112.03006744384766,113.56172877735135,110.73624453423858,112.82920001903913,1104401
2014-07-03,112.37252807617188,113.16214066064941,111.78270076671414,113.11457647079489,978614
2014-07-04,110.99307250976562,112.8862421165084,110.07978960503927,112.06809629531796,781055
2014-07-07,110.62206268310547,112.05858661234895,109.54704751024146,112.05858661234895,1158452
2014-07-08,108.68132019042969,111.87783242567016,108.09149286368356,111.30702729150545,827435
2014-07-09,109.14751434326172,110.9265165940678,108.54816705394543,109.1189723371424,904463
2014-07-10,110.7647705078125,112.44864400820109,108.49106093705848,108.49106093705848,2274521
