Price,Close,High,Low,Open,Volume
Ticker,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS
Date,,,,,
2014-06-02,846.200439453125,853.8830616627987,805.288090673859,805.288090673859,263979
2014-06-03,868.9244995117188,871.9327600959137,840.554265558045,850.3658570528943,309021
2014-06-04,858.3260498046875,882.7624015445397,854.3459014329275,871.0070349386617,258547
2014-06-05,895.90625,898.7756450121244,859.8996644863684,859.8996644863684,509247
2014-06-06,896.1376342773438,908.0318102126001,878.4120161995489,897.8500060206138,637118
2014-06-09,885.5855712890625,905.2549660002123,876.8847340893147,904.7921567128911,281389
2014-06-10,882.85498046875,894.101268688561,866.7029251286508,888.5938268998665,236638
2014-06-11,859.7607421875,892.1111208540054,854.5773010586349,883.0400706308559,250136
2014-06-12,864.7590942382812,870.0814006786026,838.3789666645151,863.092992216887,240847
2014-06-13,836.7130126953125,881.6517880744889,820.0981461774248,857.1691628178787,406270
2014-06-16,833.2882690429688,842.2667821023331,787.8866812344914,828.3362313918407,353701
2014-06-17,844.2105712890625,853.4204891686269,823.1527446853897,841.7577154939377,452759
2014-06-18,851.3839721679688,872.3029863068765,837.6848282644668,852.4947257807447,447631
2014-06-19,838.2401123046875,866.3789380179076,832.1310526475415,856.1971342591501,142430
2014-06-20,823.939453125,844.9972771372303,820.1443828124422,829.8171088775553,183504
2014-06-23,821.0236206054688,841.4797671340582,802.4187111019197,823.8930153961733,550887
2014-06-24,818.8485107421875,841.9426494369915,815.331114893226,828.4286405798329,480631
2014-06-25,822.2732543945312,830.6501478563939,818.2468361135757,823.708008409729,414148
2014-06-26,837.8237915039062,841.1097266000501,827.1328502894936,827.2254460569502,389060
2014-06-27,859.3905639648438,863.1393078365537,838.1938763271022,841.2021366493207,478916
2014-06-30,884.8451538085938,888.5938980167964,861.9360923753483,866.2401851717,353956
2014-07-01,890.8616333007812,899.70127963601,873.1822841350481,891.3244426010056,320370
2014-07-02,918.0284423828125,924.4152328075039,893.6846864588045,896.8780816711503,482502
2014-07-03,914.0482788085938,934.8746952877768,909.5127255105746,920.990417634988,530765
2014-07-04,916.686279296875,928.2102411776352,898.7755835210066,924.6929020983374,355823
2014-07-07,910.62353515625,922.7028461597381,905.2549587652857,917.6582701644738,236412
2014-07-08,838.8419189453125,924.6930505118535,820.6534894977932,915.1591895183449,537395
2014-07-09,819.1724243164062,850.2731852855638,809.8236994731645,841.1095954530867,350174
2014-07-10,818.9873657226562,870.0815262210773,788.6270854684659,819.1725007506951,511521
2014-07-11,791.0336303710938,827.225351409724,778.4452400504337,820.9774258801873,392156
2014-07-14,802.881591796875,812.0914516197088,783.5361405657762,787.7014242427355,201963
2014-07-15,826.94775390625,834.5841080402237,806.4915471168608,808.7130545539474,208092
2014-07-16,834.5376586914062,838.3789982564091,817.5988505942782,833.0566916155321,209723
2014-07-17,844.2567749023438,851.0138364583462,826.2072106536223,826.5774807235032,181836
2014-07-18,845.1360473632812,855.2715822835538,831.5757688357128,846.4782056258765,206824
2014-07-21,842.8681640625,854.3458557958935,837.6847231801556,854.3458557958935,89260
2014-07-22,848.375732421875,854.160848780236,834.0749134849511,845.3674719155273,179376
2014-07-23,839.9063720703125,858.6964190633945,829.4468362976785,853.4203815443791,252436
2014-07-24,849.0235595703125,851.5690104166667,826.5773111979167,835.83349609375,213851
2014-07-25,834.4452514648438,857.724584184244,820.0981617280661,851.5691972797074,193313
2014-07-28,831.5294799804688,850.5509881677191,825.6518242334206,831.4369407148768,125481
2014-07-30,818.941162109375,838.6105598995125,810.6568632704722,831.2981494170658,274041
2014-07-31,811.4898681640625,825.9757658968003,808.8055515259051,820.0981101658448,212964
2014-08-01,797.744384765625,812.6931480714278,793.2551570583299,802.7890175418892,168611
2014-08-04,821.4402465820312,825.0964513898676,797.883241663108,797.883241663108,270883
2014-08-05,823.985595703125,828.5674185532912,812.6930387629459,823.846730330741,225613
2014-08-06,822.8285522460938,836.8979643240382,819.1723479814731,819.1723479814731,145975
2014-08-07,814.1277465820312,829.4467215747536,805.3343707649994,826.1145175474602,185634
2014-08-08,790.8485107421875,811.1657926933973,787.5625196975242,809.9162302505484,716033
2014-08-11,796.1708374023438,805.2881577395614,793.2551163020736,796.0319720184169,589396
2014-08-12,803.298095703125,806.6766262597534,787.3775006564691,797.6055750948437,222228
2014-08-13,780.7593383789062,810.4254050822735,754.8882855769571,803.4832651441089,769540
2014-08-14,787.7014770507812,792.3295703354509,771.3642851577855,783.0733837661115,212104
2014-08-18,790.8485107421875,802.4187426029096,782.4716176788064,782.4716176788064,164001
2014-08-19,791.3576049804688,802.5112974112942,786.4518378755099,796.957586010524,151699
2014-08-20,794.7824096679688,803.1129768182963,788.6270235643393,803.1129768182963,247198
2014-08-21,785.4797973632812,806.4450779417385,782.3789981408947,791.4037780662111,335933
2014-08-22,785.3411865234375,792.9312710582059,782.1477907532585,785.3874561587454,198240
2014-08-25,776.96435546875,790.4783658226403,774.7428480018149,783.073416259899,138259
2014-08-26,743.3642578125,779.3708431150959,734.0155327675428,769.4204433959899,409376
2014-08-27,737.2552490234375,753.2221706124574,728.6007373109787,744.6601981661713,373832
2014-08-28,735.2189331054688,746.0486833564742,722.0288664332234,744.1974459287906,559339
2014-09-01,773.4931640625,776.5014243506101,736.8849052063563,736.8849052063563,567205
2014-09-02,763.86669921875,781.545990713435,762.0154621409705,770.1146243562556,287817
2014-09-03,775.853515625,786.2204551612903,766.6435993294725,768.2634318665405,386736
2014-09-04,770.3462524414062,779.6487101565103,755.4438122407153,771.9660853543201,352195
2014-09-05,788.3031616210938,793.6254689649347,764.5610201761086,771.0403508555672,268131
2014-09-08,824.494873046875,829.4006409531491,796.9577161867633,801.1692700545473,729727
2014-09-09,843.3310546875,846.7558546880769,824.4947394272382,830.8815301444024,615186
2014-09-10,828.7989501953125,843.8402530470597,824.3559355413431,837.684866512695,338408
2014-09-11,831.7146606445312,841.1559825593847,792.9312715219056,833.0105494055963,289298
2014-09-12,821.5789794921875,842.1277220287413,816.9046172439728,829.3541976936742,214502
2014-09-15,817.27490234375,830.7889104486849,808.9906051000214,818.2467905130651,288634
2014-09-16,795.8468017578125,825.4665947536485,783.3972212151958,816.395544447728,455792
2014-09-17,820.190673828125,823.6617438107437,773.9560668558684,803.4369986434642,646602
2014-09-18,825.5592041015625,832.6864217123593,819.172413533531,822.8748877189933,283429
2014-09-19,822.7824096679688,839.5360840053563,817.3675068717604,821.3013859864493,320122
2014-09-22,821.6253662109375,831.2054960449715,814.5906310109417,818.2931053808525,272703
2014-09-23,816.534423828125,829.8170273793678,810.8881167943032,818.3393347985435,258018
2014-09-24,798.5775146484375,823.8931629000903,790.015541874751,816.3956742044878,161216
2014-09-25,758.1278686523438,803.4369083667833,749.8435712589542,791.5427324942553,523429
2014-09-26,762.6171264648438,774.6038411849687,730.4055565513522,758.1278427148424,372759
2014-09-29,750.537841796875,774.7427915133543,746.0948836822338,763.727907243787,186409
