Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2014-06-02,553.1397705078125,566.8020897410315,550.5550165464052,566.8020897410315,1471220
2014-06-03,556.7861328125,559.4631772122042,551.5704234260035,552.0319886338913,1878542
2014-06-04,550.2318115234375,561.0785926958348,547.6932031639403,555.7244481517575,1591163
2014-06-05,551.8933715820312,556.6013694426127,547.4162126165395,548.3393428233128,2201960
2014-06-06,553.5552368164062,564.0327456424473,549.3088026339982,563.1557603829945,3261294
2014-06-09,554.24755859375,557.3861683962829,547.8317905369398,553.8782838671402,1395182
2014-06-10,562.186279296875,567.7250603736916,555.8166585211782,556.6474982200585,2676226
2014-06-11,566.7098388671875,572.3409124034688,559.2324479797386,570.4946513957157,3687253
2014-06-12,582.6798706054688,584.7107685828645,568.6944236876379,569.5714087623546,2985927
2014-06-13,581.2953491210938,589.4188871188877,576.9566240396316,581.5722770319487,3851552
2014-06-16,595.7422485351562,598.4654947920842,576.9565653061537,576.9565653061537,2457802
2014-06-17,599.8501586914062,604.0503909950821,587.203260182876,596.7576942029687,2844843
2014-06-18,584.6646118164062,600.680957939555,582.4491326794509,596.3883790751295,1600870
2014-06-19,593.1574096679688,595.4190903496059,579.9105113580184,584.8030910643029,1386711
2014-06-20,582.7721557617188,593.2497186281042,577.002591301177,593.1573717906939,1819652
2014-06-23,585.2186889648438,588.9112115782748,580.3261077707323,584.2955583114859,1271054
2014-06-24,579.541259765625,588.034070800977,577.9257815491388,583.2337814033077,1371690
2014-06-25,584.1569213867188,587.4802247211455,576.9565153439087,579.6336161124683,1118293
2014-06-26,586.326171875,591.9572435846062,578.018000035216,581.6643192679597,1832085
2014-06-27,610.0506591796875,623.0668307056519,600.5885732485385,600.9578479197987,4533478
2014-06-30,635.067626953125,636.8677426633873,613.1894232406291,616.6511625513591,2956224
2014-07-01,627.036376953125,635.1137686326831,625.790173345644,633.775218171388,1231691
2014-07-02,640.0986328125,642.9141692238577,628.6517934776007,628.6517934776007,1901849
2014-07-03,652.5147705078125,664.6539591038103,640.0987103742852,641.575696634928,4107204
2014-07-04,655.2379760742188,658.9304978400282,650.5300333601759,653.0686420741699,1825657
2014-07-07,667.884765625,683.1164154284727,652.7454063132786,661.0535789333546,2557235
2014-07-08,670.2388305664062,687.6398727996834,664.1461923281877,675.7314678373177,4496355
2014-07-09,668.715576171875,678.5007342923368,658.0533767011333,673.8850830386475,2606698
2014-07-10,670.42333984375,683.5779458234725,658.2841545952782,665.8076886227948,1489631
2014-07-11,686.8551025390625,695.6709858162644,663.7768445655479,665.5769599561627,3129956
2014-07-14,681.2702026367188,690.5015061954819,668.3463776544504,689.1168106616674,2311905
2014-07-15,682.8396606445312,690.132357986338,676.6546748580461,680.5779795894877,1205297
2014-07-16,687.6397705078125,695.1171032645327,680.8085838746254,688.6551912819939,1970017
2014-07-17,685.8858642578125,691.5169369720956,683.1164731504458,684.3626766113983,842445
2014-07-18,685.193603515625,687.6399218418976,676.0084439074603,687.6399218418976,1449855
2014-07-21,686.5320434570312,693.686303574632,684.1318707728258,693.0862463177295,1201953
2014-07-22,692.901611328125,699.5481610511512,688.2398143753554,691.4246253200768,779530
2014-07-23,691.286376953125,696.9175078238683,684.9629544260495,694.1942610894733,1430470
2014-07-24,690.686279296875,695.1634398655451,684.2705107937678,689.0246555983693,888943
2014-07-25,722.072509765625,724.657263257609,692.3938489942111,692.3938489942111,2015432
2014-07-28,728.4884033203125,731.3500851236025,714.9183746943355,722.8111286232638,1371299
