Price,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,
2014-06-02,296.4072570800781,299.2758833817818,288.83602164471995,288.83602164471995,656591
2014-06-03,301.2039489746094,303.36715086636764,295.4197102617574,297.2067068726825,1463591
2014-06-04,301.1569519042969,308.8692610770712,299.134794582703,304.21366663376455,1421190
2014-06-05,304.1195373535156,306.51787071741387,301.15688181498894,303.7903470264309,1024094
2014-06-06,307.7876281738281,308.96328756333855,297.2066936682343,306.5179102926325,1220841
2014-06-09,307.1763000488281,312.7254067896844,305.7655087400025,306.7060362792196,1552181
2014-06-10,321.0960388183594,322.60088835294914,303.7903409271212,305.9535424000444,2957655
2014-06-11,309.33941650390625,326.3629660043081,306.7059516022084,324.43489656227376,3146759
2014-06-12,309.1043395996094,313.1486248417581,303.9314386430576,309.19839808479793,854622
2014-06-13,300.8747863769531,314.0421733405189,284.7447430871102,310.84438510417806,1264687
2014-06-16,303.4141845703125,306.7060308998359,293.867835955219,299.0877522252716,1186910
2014-06-17,303.2730712890625,305.06006760664155,298.75852255228455,300.4985039809609,1189474
2014-06-18,295.6548156738281,308.3989514000211,293.3034970009054,303.6963140541756,1361754
2014-06-19,301.39202880859375,304.2136111209128,294.6672346688044,300.0282525432584,908802
2014-06-20,313.9950866699219,315.78208303742815,303.93143173838877,306.6119406409578,2824583
2014-06-23,306.658935546875,318.6506594377077,304.6368074548267,316.8636631866561,1682795
2014-06-24,317.6630859375,318.838745026832,305.20109959058107,305.20109959058107,1532090
2014-06-25,322.31878662109375,324.3409150111533,315.92318238186016,319.40314562251825,2113727
2014-06-26,326.1749267578125,330.59541750565074,317.8982962074252,323.91766648976335,3835909
2014-06-27,332.1472473144531,335.6272101937829,326.2219361443711,326.5981413658239,2008738
2014-06-30,332.05322265625,339.3423107870078,329.3727422412298,333.13485224420157,1515387
2014-07-01,334.63970947265625,337.55535078079356,330.12518846191915,331.91218516605994,796331
2014-07-02,338.1196594238281,340.3299049408368,332.2883770431189,336.70886807713623,1073593
2014-07-03,339.3423156738281,340.75310694525916,334.8277950862976,340.28284318811546,848205
2014-07-04,335.9563903808594,340.1417199848883,331.347783273723,339.53038293066135,662164
2014-07-07,336.14447021484375,341.1292824072126,333.3699317451203,337.5552612443151,732610
2014-07-08,321.1900939941406,340.564963384091,317.33392607096425,338.6839086608457,1169214
2014-07-09,327.2565612792969,329.6078800736513,315.7821140817985,316.2053629458311,1197600
2014-07-10,307.7406311035156,331.0657032613329,304.3547261250909,329.1846481291662,1909597
2014-07-11,310.75030517578125,317.6161736978671,304.0255387521063,304.6368759355997,1219953
2014-07-14,302.8498229980469,307.55246000112214,299.18177187617187,307.55246000112214,988868
2014-07-15,310.2814636230469,311.46484067729193,303.6545521192747,303.6545521192747,1104243
2014-07-16,310.4234619140625,311.4175159704832,307.11000617474275,308.15138375673723,549883
2014-07-17,316.6716613769531,318.8490633367323,307.10997015806623,307.81999630465134,868312
2014-07-18,312.3642272949219,320.4585150098013,310.1394725941934,319.9851641752226,794164
2014-07-21,313.3109130859375,315.25163985294023,308.7194044450064,310.7074836276925,550719
2014-07-22,319.7484436035156,321.68917019480494,312.7428580192776,312.7428580192776,850103
2014-07-23,322.4938659667969,324.2452695513401,317.4290070729699,321.8785157589945,886420
2014-07-24,318.1864013671875,324.57663692275315,316.19832230502595,322.8725567733123,590907
2014-07-25,314.44696044921875,317.14506604301715,311.84353080259694,315.72501350849615,560747
2014-07-28,316.6716613769531,319.4170900322079,312.0328296641381,312.74285581072314,601788
2014-07-30,324.3873596191406,326.1387636929432,316.6717458789245,316.6717458789245,900812
2014-07-31,322.87261962890625,326.7541025742749,320.69521716472224,324.81337554711286,579077
2014-08-01,309.24005126953125,325.28665387740574,303.8911933639191,321.87852256614485,1289216
2014-08-04,323.9613342285156,325.28671083412036,307.6780533852483,308.6247550879721,1307913
2014-08-05,325.9967346191406,328.4108123862152,319.5591457552036,324.0559788087666,674392
2014-08-06,325.90203857421875,330.87222216903257,322.6832587862619,323.1092571883355,607470
2014-08-07,328.7894592285156,331.81891595196834,320.93184738293087,324.7186538417265,815348
2014-08-08,323.72467041015625,329.0735294441235,321.3579160684854,325.1920465455745,619376
2014-08-11,323.53533935546875,329.02619822556596,321.4525838441651,323.7246912714222,362845
2014-08-12,330.49359130859375,332.29231888044984,323.86667896624857,323.86667896624857,884613
2014-08-13,325.2393798828125,330.3989160596462,322.8253019379351,329.4522142944323,514353
