Price,Close,High,Low,Open,Volume
Ticker,TTKPRESTIG.NS,TTKPRESTIG.NS,TTKPRESTIG.NS,TTKPRESTIG.NS,TTKPRESTIG.NS
Date,,,,,
2014-06-02,225.91134643554688,230.26914197191465,222.39037460009735,224.24113239134536,106512
2014-06-03,229.09544372558594,230.43923418164113,224.93902186965732,227.43911606307967,488340
2014-06-04,229.3038330078125,230.21705526864156,228.48086990381987,230.14759971571954,473484
2014-06-05,236.08526611328125,241.32853596755535,228.48081323265697,229.1752922927865,451164
2014-06-06,240.13755798339844,242.925851064303,233.6893822691095,238.89445373386786,93348
2014-06-09,252.5651092529297,266.53785597023284,240.1653233694637,240.63409107935854,499068
2014-06-10,285.23992919921875,303.07741488975455,250.0788932344945,250.0788932344945,1981896
2014-06-11,260.8014831542969,283.6842710530914,258.27359167643016,283.6842710530914,741912
2014-06-12,263.99603271484375,269.1073343568039,255.98184073211513,256.9541164739768,491148
2014-06-13,253.7005615234375,267.23231272974124,247.92603604718946,264.94055945535547,198540
2014-06-16,255.3568572998047,257.03747293298716,247.92602959605946,253.41235637547027,202344
2014-06-17,257.4715270996094,260.77373007390406,253.9714101557825,253.9714101557825,150720
2014-06-18,257.42987060546875,266.9336832038348,253.90195616273357,255.91591265580408,344292
2014-06-19,254.0582733154297,260.28768189865343,252.85682688188007,256.1243156075545,83760
2014-06-20,250.0476837158203,255.56178348459807,248.2837262135135,251.53732864701337,186516
2014-06-23,251.30812072753906,260.4265336266502,248.29414138182673,248.29414138182673,170016
2014-06-24,254.73876953125,258.62087912388813,251.4018516143129,251.4018516143129,134604
2014-06-25,253.4401397705078,257.54445144782835,252.7908028819741,255.0756131878248,48888
2014-06-26,248.36354064941406,256.9437291690553,246.67598200760767,253.6901272978538,101640
2014-06-27,247.80450439453125,252.6901211337664,246.53711229454817,247.71421981061383,58740
2014-06-30,244.78350830078125,251.73516556275408,242.58203996131067,249.1065876452577,86652
2014-07-01,250.1205596923828,253.48179101883125,243.8980955858221,246.46764559238756,190656
2014-07-02,262.1210021972656,272.2324934297618,249.24553126948996,249.24553126948996,382596
2014-07-03,267.3017883300781,277.78830500127964,263.2738495530562,263.2738495530562,330060
2014-07-04,267.13165283203125,274.31594095575156,263.27385590261855,270.8435956428844,181212
2014-07-07,262.7877502441406,268.4789348652689,261.82241721469103,265.9857830827263,63072
2014-07-08,252.47137451171875,266.3295506955325,250.00947900526253,261.8884134802846,119724
2014-07-09,248.68304443359375,256.95420700223355,247.57885111011223,256.95420700223355,72432
2014-07-10,247.6412811279297,252.78732387940624,241.73829758575516,246.53708805902758,103008
2014-07-11,242.55081176757812,249.97818053912025,240.98130977645286,245.6342716610853,111060
2014-07-14,237.35272216796875,246.4641658327272,236.22421576419185,240.98132307779406,216948
2014-07-15,242.78005981445312,245.14818661815352,233.23802074461946,237.50901621158212,1078536
2014-07-16,243.0612335205078,243.689715825807,240.00903026274335,243.0577492992458,543972
2014-07-17,267.4198303222656,270.77411873266783,245.28706087702798,245.28706087702798,1207284
2014-07-18,270.8748474121094,274.31593639722485,262.5099421838432,267.371245886896,447828
2014-07-21,273.5381774902344,275.0104522781262,268.2046465325089,268.2046465325089,233184
2014-07-22,274.2221374511719,275.357586718731,259.6486819615558,273.3123741756461,131184
2014-07-23,279.94464111328125,284.729546379565,270.0102334290927,270.0102334290927,418272
2014-07-24,277.0417175292969,279.38555608707435,272.99643427366925,279.1772148819386,96432
2014-07-25,276.2396240234375,281.2606422542618,273.763842682819,278.9688888729308,145632
2014-07-28,273.3401794433594,277.6493734670598,270.388687487408,272.23250208345047,58488
2014-07-30,274.201416015625,276.73622624399326,266.7462728325573,269.52413939090286,99948
2014-07-31,270.04144287109375,273.9686692796359,265.03431121928804,272.2672246778843,54708
2014-08-01,266.5587463378906,269.59706474521596,263.8989111480046,265.2878697850982,45468
2014-08-04,266.25311279296875,270.537993450804,264.6002692016491,266.55868158431673,43416
