Price,Close,High,Low,Open,Volume
Ticker,UBL.NS,UBL.NS,UBL.NS,UBL.NS,UBL.NS
Date,,,,,
2014-06-02,728.532470703125,741.0783083280115,720.6548903819639,729.6995350290564,114161
2014-06-03,738.7928466796875,750.3660811133564,729.1646402899028,729.4077762153079,106052
2014-06-04,735.9724731445312,744.2390949109383,726.4901717065939,739.0360096605316,118854
2014-06-05,731.7904052734375,740.5432972139174,728.0947516593266,731.3527488045439,126009
2014-06-06,737.5770874023438,750.8036565723127,728.4837691585585,728.4837691585585,226474
2014-06-09,722.5997924804688,748.8584659622624,719.6821620936028,741.0781182639531,270016
2014-06-10,725.7607421875,735.5347945822742,722.6485904496319,724.545062552345,178713
2014-06-11,720.2657470703125,731.2068622764401,707.7685858897197,726.4900496868713,755554
2014-06-12,712.9716796875,726.1010181083453,708.3034823430694,713.8469926592962,111507
2014-06-13,701.1552734375,712.6312752787514,693.7639069558142,710.9293240924835,130031
2014-06-16,695.0283203125,712.2909695311322,685.6432506555311,697.3137740709444,155314
2014-06-17,695.1741333007812,703.6838895546434,691.4784795995452,692.4510231714152,107644
2014-06-18,691.3812866210938,720.3630747685581,685.6432554909745,693.569509776916,347144
2014-06-19,698.1891479492188,708.0118156032686,693.7640266142129,695.3201321542298,201516
2014-06-20,665.4629516601562,704.9968723494356,662.3994156069833,701.2039286035406,299178
2014-06-23,657.1477661132812,673.437872497096,651.6042553525898,668.1374976525809,254447
2014-06-24,677.1334228515625,682.2392763093301,653.5492425942549,653.5492425942549,353321
2014-06-25,678.2032470703125,692.3538037573973,673.0973932354036,676.0150239982087,213019
2014-06-26,675.9177856445312,686.6157649856677,671.0550677621965,678.8354163739322,348188
2014-06-27,680.8778686523438,690.2629397630675,675.0426060407503,678.4465092308466,271735
2014-06-30,679.2730102539062,684.6706147339887,676.9874974442306,680.9263460533997,94307
2014-07-01,681.5098266601562,688.0744949868863,676.89024524505,679.2729885836574,298902
2014-07-02,692.3052368164062,698.2864045545939,683.6982484705842,683.6982484705842,195130
2014-07-03,692.3052368164062,703.538164488581,689.5335109041881,695.806429892184,94059
2014-07-04,693.8612670898438,703.3435675150665,683.1632871229257,695.3686978496753,123991
2014-07-07,703.9756469726562,708.0117265753075,690.505942127017,696.3412036097805,288903
2014-07-08,685.8378295898438,716.1812049228619,671.05515346767,706.0667266920702,232331
2014-07-09,677.473876953125,689.4848265417577,656.4669580395991,681.8017080298494,150227
2014-07-10,681.3153076171875,688.3662476875545,666.1922687174409,676.4039750262484,127063
2014-07-11,682.5311889648438,704.1216719945598,676.9876777416334,686.6158845692808,163073
2014-07-14,693.3263549804688,704.1215651779934,691.4784983999355,691.4784983999355,149972
2014-07-15,705.580322265625,717.2508444809075,693.1803924118873,698.6752870319878,238918
2014-07-16,700.182861328125,709.7623932023332,694.4448296507866,707.9632110685931,95651
2014-07-17,702.176513671875,708.4494320717008,695.0769569152073,701.2039700241301,79050
2014-07-18,703.6839599609375,707.4282887028806,696.5844030478185,696.5844030478185,69215
2014-07-21,700.57177734375,712.8744779581187,698.6753647602654,709.4705752666407,76130
2014-07-22,703.3435668945312,709.3246746187833,697.3623998109266,708.0117644586518,81550
2014-07-23,698.6266479492188,705.8234940922453,693.5207942199947,701.2039121467569,49042
2014-07-24,694.0557861328125,701.8847504919124,691.6244270548714,695.854968106748,69723
2014-07-25,689.0472412109375,696.438549906436,681.7531631458958,692.062103067411,70802
2014-07-28,686.5186157226562,705.0941764905971,677.4252965895431,695.8550114193409,85167
2014-07-30,686.9561767578125,689.3389205490273,680.7805483840697,686.5185796070481,109757
2014-07-31,685.740478515625,693.180460906769,682.2393452488228,687.4911045083775,178676
2014-08-01,691.5271606445312,703.9270923646411,679.8080213613179,679.8080213613179,153617
2014-08-04,716.0352783203125,723.3779711700963,691.4785506088178,691.4785506088178,303327
