Price,Close,High,Low,Open,Volume
Ticker,VGUARD.NS,VGUARD.NS,VGUARD.NS,VGUARD.NS,VGUARD.NS
Date,,,,,
2014-06-02,38.17238998413086,38.86864544748847,37.44909484276063,38.5306603026423,237342
2014-06-03,38.09465026855469,39.105233777235796,37.908755206137684,39.105233777235796,200466
2014-06-04,38.46644592285156,38.66586087046703,38.09465931978521,38.09465931978521,213836
2014-06-05,39.970489501953125,40.39635541222313,38.12507296418574,38.59487744940506,1293880
2014-06-06,39.82177734375,40.490993181223054,39.2133989814923,40.21722454275396,342958
2014-06-09,39.561527252197266,40.220605955803485,39.22353845112519,39.8826171547314,236096
2014-06-10,38.80781173706055,40.04485005021434,38.66585882889642,39.679821581884454,240226
2014-06-11,38.59488296508789,39.531109401941045,38.39546801562525,38.99033019614601,148694
2014-06-12,38.84498596191406,39.321548523686204,38.05747434301569,38.601632485408864,123382
2014-06-13,36.8981819152832,39.21002067076592,34.880393396084536,38.96329168500011,373828
2014-06-16,37.37812042236328,37.847924902834194,35.826754085697914,37.33079918050851,283514
2014-06-17,39.03089141845703,40.4774783839955,36.36754035660594,37.51332257618526,2054542
2014-06-18,37.428810119628906,39.54123674841835,37.05026552623042,39.470258508998874,588028
2014-06-19,38.08451461791992,38.44953942325973,37.51669223721849,38.44278130913286,307258
2014-06-20,38.581363677978516,38.936251390667024,37.1787117263852,37.85806841125203,275716
2014-06-23,39.09171676635742,39.882611090426344,37.71948742460157,38.93624403536503,2374414
2014-06-24,39.49730682373047,39.77445811871414,39.15255994125577,39.61222365459004,216860
2014-06-25,39.41281509399414,39.784601715546266,39.2066420206646,39.544630843013245,195580
2014-06-26,39.615604400634766,39.679820933509404,38.05747983321703,39.544626142660384,284942
2014-06-27,39.67982482910156,39.95021804744979,39.081587189094066,39.081587189094066,190988
2014-06-30,39.848812103271484,40.82897692087073,39.20663241511055,40.220598633736586,1865472
2014-07-01,39.60546112060547,40.17666259577544,39.544623649064896,40.17666259577544,388696
2014-07-02,40.011051177978516,40.22398233954791,39.652784444498025,39.88599356094407,264180
2014-07-03,45.273529052734375,46.30439068062004,39.74066178278303,40.22060346794961,3584700
2014-07-04,44.614444732666016,45.49321256158347,44.00944550660259,45.35801778868107,1748572
2014-07-07,44.239280700683594,44.932157094973405,43.8708732167919,44.75302013372744,270130
2014-07-08,41.76521301269531,46.831659022999744,40.632954258899844,44.208871128765,1936620
2014-07-09,43.27263259887695,46.507180959749945,41.72126627946529,41.91391947167573,3209486
2014-07-10,44.07705307006836,44.99300153081298,42.33979142455464,43.164483667014785,770616
2014-07-11,42.424285888671875,45.087632939564685,41.640153236073466,44.600929540354905,755594
2014-07-14,43.897918701171875,44.54685299770552,42.91437105826616,42.917750115881,317114
2014-07-15,44.40489959716797,44.874704123786096,43.93847412812741,44.24266512229789,298480
2014-07-16,44.87470626831055,45.29043145313773,44.07367102841208,44.50291966440431,332976
2014-07-17,47.318023681640625,47.784230373004554,45.06186956780725,45.235417647490976,1168678
2014-07-18,47.99861526489258,48.45461196733249,47.06620550771427,47.7774229702293,798238
2014-07-21,47.23974609375,48.93101349349097,46.756525278934454,47.64809848671011,994336
2014-07-22,47.71616744995117,48.18577260292286,46.433255851699016,46.433255851699016,820330
2014-07-23,47.75019454956055,48.30828023395613,47.50518380452832,48.30828023395613,284746
2014-07-24,52.04131317138672,53.55562324249683,47.64129739992558,47.644699518941565,5196856
2014-07-25,50.32622146606445,52.26249962223513,50.02336019137529,51.997068924651586,964418
2014-07-28,49.52653884887695,51.0442512198601,49.172631195220355,50.43512281896822,526806
2014-07-30,50.93535232543945,54.58331445400641,49.68306719836718,49.68306719836718,3577756
2014-07-31,52.31354522705078,53.42290493590397,51.01021385861023,51.0204238498365,1491952
2014-08-01,51.0612678527832,52.082150817059215,50.77201501409355,51.929019099366386,528136
2014-08-04,51.660179138183594,52.738912521772725,51.52406167065829,51.792894486837795,298088
2014-08-05,51.34030532836914,51.97665791723108,51.044248261009535,51.588721822361826,272748
2014-08-06,51.15654373168945,51.86095319523866,51.04424472712381,51.72483572300993,211400
2014-08-07,50.65290451049805,52.33736406828998,50.43171226396095,51.156541681883695,185556
2014-08-08,49.17262649536133,50.145868815152696,48.968448463191,50.02336344974755,292208
2014-08-11,49.482295989990234,51.027236196612506,48.811918545681394,48.811918545681394,275422
2014-08-12,52.05492401123047,52.949899437627316,49.43125041607929,49.43125041607929,736148
2014-08-13,50.73457717895508,52.52452786463214,50.14926734657219,51.588716191332445,444514
2014-08-14,50.56443405151367,51.07828127963967,49.887248750250144,51.04424918255509,293342
2014-08-18,51.95964431762695,52.88184399263701,50.247960331647405,51.01022041900712,676074
2014-08-19,51.969852447509766,52.55856081431431,51.86095555697364,52.14680625988829,189910
2014-08-20,52.06853485107422,52.67766319216419,51.76567355744424,52.06513273198683,229236
2014-08-21,51.88478088378906,53.358258404025534,51.190577702464836,52.40203024174156,1074500
2014-08-22,51.575111389160156,52.664054912560076,51.38454545474803,52.33737149206581,190106
2014-08-25,51.064666748046875,52.26931133223939,51.04424676381517,51.112307320016434,218918
2014-08-26,51.010215759277344,52.56196001585635,50.554219142325415,50.70395235850121,460684
2014-08-27,50.79242706298828,51.854149908383214,50.703953793947946,51.044245663390214,232428
2014-08-28,50.213932037353516,52.13319619134451,49.5809815579103,50.71076139829284,379862
2014-09-01,50.21052169799805,51.3334971972742,50.15947900927753,50.908126918966644,281134
2014-09-02,50.35005187988281,51.180372567940786,50.227546502233075,51.04084932362371,375494
2014-09-03,49.59799575805664,51.04084690061122,49.00928736855204,50.90132729766041,316932
2014-09-04,49.77154541015625,50.61888025505067,49.550353145254974,50.00975190547413,447692
2014-09-05,50.588253021240234,50.84007162339918,49.47888959716244,50.01996101553086,491400
2014-09-08,51.833736419677734,52.33737001353106,50.63589603345689,51.05445847262646,588000
2014-09-09,52.05152130126953,52.514322180224944,51.24502279091507,52.33396624932445,368480
2014-09-10,54.5118522644043,55.032503698959324,51.44579785507205,51.7928975998612,1742902
2014-09-11,55.178829193115234,56.38007159798272,54.92360848095059,55.23327763534755,1361612
2014-09-12,57.25463104248047,57.51665599449124,55.257100146272336,55.260502265251404,1480458
2014-09-15,57.8637580871582,58.31294682475691,57.01642329974784,57.03343752901019,798182
2014-09-16,54.83854293823242,58.86423535418493,54.4642189216727,57.85015657257502,699440
2014-09-17,55.91386413574219,57.087882301566424,55.134589900589596,55.80156876878087,362264
2014-09-18,58.4116325378418,58.799568612513156,55.883243814383846,55.94449649620116,746424
2014-09-19,59.405296325683594,61.66485591079202,57.513256475491374,57.513256475491374,1744554
2014-09-22,58.95610427856445,60.572503328975294,57.98626412136946,59.40529302139767,514696
2014-09-23,59.71156311035156,60.29686935355246,58.53754487008947,58.54434910832479,542668
2014-09-24,59.12284851074219,60.5656995231538,58.530734420627795,59.72516895776029,390670
2014-09-25,57.46561813354492,59.74899627594005,57.04705569116403,59.21133058134533,246708
2014-09-26,60.926414489746094,61.59339703978878,56.82926348824981,56.90072616395028,590254
2014-09-29,60.58611297607422,62.73677909866067,60.02803100653905,61.52532675510338,622160
2014-09-30,60.06887435913086,61.24629474806137,59.694550378227255,60.912803467079804,173138
2014-10-01,59.68773651123047,60.98085790115111,58.782551174811786,60.36832748166078,267176
2014-10-07,60.12672424316406,60.79710164724767,59.09222558516967,59.09222558516967,331324
2014-10-08,61.98133087158203,63.75766589887842,59.514187581138025,60.23221279643394,1726424
2014-10-09,61.57978057861328,62.50878444770304,60.7868941863166,62.00174512014608,368438
2014-10-10,61.18503952026367,62.342043511141995,60.572505429980374,61.253096440466756,368802
2014-10-13,60.54869079589844,61.253100319163806,60.23902161208614,60.71543462264573,117712
2014-10-14,62.0629997253418,63.294872197069594,60.04165022545159,60.50445111478017,785652
2014-10-15,62.0629997253418,62.0629997253418,62.0629997253418,62.0629997253418,0
2014-10-16,60.334312438964844,62.273993254617764,60.09610589547261,60.91621668366072,299082
2014-10-17,60.820926666259766,61.52193408065381,58.871036140246915,60.02804022156414,406658
2014-10-20,60.33771514892578,62.61428931126211,60.09610286305894,62.49858816517703,277452
2014-10-21,60.7086296081543,61.1237899274491,59.89192108124179,59.89192108124179,198184
2014-10-22,60.86176681518555,61.59340425359073,60.096100911887184,60.91621163206602,131026
2014-10-27,61.00809097290039,61.58999150283612,57.441797550561105,61.58999150283612,230692
2014-10-28,61.64783477783203,62.20592040626057,60.16415107502508,60.57250348737519,239092
2014-10-29,61.572975158691406,62.273978878562076,61.32115292455467,61.66145206212024,165326
2014-10-30,62.51900863647461,62.81846786295863,61.25650964820676,61.79417540800699,807268
2014-10-31,62.209327697753906,63.6215561157534,61.79756949747219,62.75039550692321,411908
2014-11-03,61.53554153442383,62.78442447773309,61.38921407562994,62.610872798501866,376320
2014-11-05,62.21613693237305,63.83934775971536,61.4504783057834,62.92055013832165,1746248
2014-11-07,63.556888580322266,63.771280229614305,62.4100982560846,62.4100982560846,692132
2014-11-10,61.89285659790039,63.97546238967173,59.28959572344352,63.8393412757223,552020
2014-11-11,61.57638168334961,63.28125780373875,60.987669658049136,62.40670233347581,378868
2014-11-12,61.940494537353516,62.51559807491924,61.79756918276661,61.79756918276661,352674
2014-11-13,61.75673294067383,62.59045564688046,61.4232453120882,62.59045564688046,168056
2014-11-14,61.94389343261719,62.24675472211859,60.64056561730633,61.872434393785674,214186
2014-11-17,66.83052062988281,67.63702629235269,61.60019212544707,62.001736627879374,1737470
2014-11-18,67.04151916503906,67.99093574649704,66.37453662432138,67.1606224112938,983192
2014-11-19,68.35846710205078,68.73959898851126,66.28946958668593,67.10277969096407,1160684
2014-11-20,67.49752807617188,68.57285966503079,66.83395476762006,68.07262445895098,517622
2014-11-21,68.95057678222656,70.44106849687111,66.83734458193071,67.58599255852323,979888
2014-11-24,72.0506591796875,72.925214595219,68.05899940197654,69.21600339499909,1752646
2014-11-25,73.41865539550781,74.18431402673333,70.44787809789425,71.80565818641114,1117536
2014-11-26,75.61354064941406,77.41710714003818,72.27864988030473,73.16341889604372,1378916
2014-11-27,76.2805404663086,77.31503929861879,75.62036930847786,75.68162200273075,473494
2014-11-28,76.24308776855469,77.51918761857212,75.82451811989993,76.2260699053146,529242
2014-12-01,74.76280975341797,75.8857852885805,74.56543596067597,74.86489513412128,350700
2014-12-02,73.59900665283203,75.16776166901093,73.22808114448853,74.7287865049378,192010
2014-12-03,73.83380126953125,75.54548141771409,73.50371577559154,74.32042057854362,1107344
2014-12-04,75.20858764648438,78.26784109597392,73.77934886597124,74.52459459382497,536424
2014-12-05,76.05934143066406,76.89646639769396,75.20860798523722,75.36514183423384,237230
2014-12-08,75.15755462646484,76.77395383726211,74.59266470555754,75.61354765243101,212380
2014-12-09,72.31948852539062,75.54548235069656,71.57764486720885,74.41230051525777,186312
2014-12-10,74.82747650146484,75.47744127722048,72.34672793250732,72.75507679000114,301756
2014-12-11,74.25238037109375,75.5454984174583,73.50713443551163,74.38849423413929,217252
2014-12-12,73.95630645751953,75.92321094121596,73.37099662490948,75.11331037783826,185766
2014-12-15,72.47262573242188,73.98013526518965,72.0744832870926,73.50372227066538,141736
2014-12-16,68.98460388183594,72.95924595255272,67.99093791204263,71.46195002894217,379820
2014-12-17,67.87863159179688,69.42016200346256,62.287584278708195,68.73957838034137,767886
2014-12-18,69.78429412841797,71.12165402459208,68.06920451927535,68.06920451927535,280266
2014-12-19,73.71129608154297,74.18429964670719,70.10076108361599,70.10076108361599,471604
2014-12-22,73.97332000732422,75.5386800254708,73.63983238196037,74.86489326727789,291816
2014-12-23,73.8440170288086,74.83087151742374,72.99327638994136,73.68067168572827,138040
2014-12-24,74.20471954345703,74.86489053208518,73.38120323236237,73.38120323236237,13510322
2014-12-26,73.63643646240234,74.61988882634006,73.3335751519365,74.2047285018068,96432
2014-12-29,75.12692260742188,75.47742810073218,73.84741326647612,73.84741326647612,206598
2014-12-30,75.60674285888672,76.22608122271842,74.87511275114257,75.61354709739918,132860
2014-12-31,79.45547485351562,81.53467851377663,75.77008567510187,76.22948080166802,635404
2015-01-01,75.06227111816406,81.1263304616882,66.19078012426117,79.96932643251469,2593864
